Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2013/14

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;296;61,8;82,1;194,8;
Ale;1440;Västra Götalands län;14;Kommunal;273;59,3;81,0;192,8;
Ale;1440;Västra Götalands län;14;Enskild;23;91,3;~100;217,8;
Alingsås;1489;Västra Götalands län;14;Samtliga;411;83,0;92,0;223,0;
Alingsås;1489;Västra Götalands län;14;Kommunal;323;80,8;90,7;218,3;
Alingsås;1489;Västra Götalands län;14;Enskild;88;90,9;~100;239,6;
Alvesta;0764;Kronobergs län;07;Samtliga;197;70,6;84,3;203,3;
Alvesta;0764;Kronobergs län;07;Kommunal;197;70,6;84,3;203,3;
Aneby;0604;Jönköpings län;06;Samtliga;59;81,4;~100;218,9;
Aneby;0604;Jönköpings län;06;Kommunal;58;82,8;~100;219,6;
Aneby;0604;Jönköpings län;06;Enskild;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;140;79,3;90,7;215,6;
Arboga;1984;Västmanlands län;19;Kommunal;140;79,3;90,7;215,6;
Arjeplog;2506;Norrbottens län;25;Samtliga;35;71,4;85,7;201,1;
Arjeplog;2506;Norrbottens län;25;Kommunal;35;71,4;85,7;201,1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;59;61,0;74,6;201,4;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;59;61,0;74,6;201,4;
Arvika;1784;Värmlands län;17;Samtliga;271;74,9;87,5;210,6;
Arvika;1784;Värmlands län;17;Kommunal;241;72,2;86,3;207,4;
Arvika;1784;Värmlands län;17;Enskild;30;96,7;~100;235,9;
Askersund;1882;Örebro län;18;Samtliga;116;70,7;85,3;205,0;
Askersund;1882;Örebro län;18;Kommunal;116;70,7;85,3;205,0;
Avesta;2084;Dalarnas län;20;Samtliga;216;65,7;76,4;193,9;
Avesta;2084;Dalarnas län;20;Kommunal;216;65,7;76,4;193,9;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;88;70,5;79,5;208,4;
