Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2009/10

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behöriga till nationella program;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;382;67,8;84,3;193,5;
Ale;1440;Västra Götalands län;14;Kommunal;359;67,4;83,8;192,7;
Ale;1440;Västra Götalands län;14;Enskild;23;73,9;~100;206,1;
Alingsås;1489;Västra Götalands län;14;Samtliga;516;82,9;92,1;212,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;404;80,4;90,8;208,6;
Alingsås;1489;Västra Götalands län;14;Enskild;112;92,4;~100;226,2;
Alvesta;0764;Kronobergs län;07;Samtliga;256;80,5;87,9;196,7;
Alvesta;0764;Kronobergs län;07;Kommunal;256;80,5;87,9;196,7;
Aneby;0604;Jönköpings län;06;Samtliga;87;69,0;87,4;190,8;
Aneby;0604;Jönköpings län;06;Kommunal;86;69,8;88,4;192,2;
Aneby;0604;Jönköpings län;06;Enskild;..;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;185;76,2;87,6;208,7;
Arboga;1984;Västmanlands län;19;Kommunal;185;76,2;87,6;208,7;
Arjeplog;2506;Norrbottens län;25;Samtliga;35;65,7;~100;193,5;
Arjeplog;2506;Norrbottens län;25;Kommunal;35;65,7;~100;193,5;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;68;94,1;100,0;222,1;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;68;94,1;100,0;222,1;
Arvika;1784;Värmlands län;17;Samtliga;277;78,7;90,3;213,0;
Arvika;1784;Värmlands län;17;Kommunal;235;77,9;90,2;213,5;
Arvika;1784;Värmlands län;17;Enskild;42;83,3;~100;210,4;
Askersund;1882;Örebro län;18;Samtliga;122;61,5;82,8;186,2;
Askersund;1882;Örebro län;18;Kommunal;122;61,5;82,8;186,2;
Avesta;2084;Dalarnas län;20;Samtliga;269;75,5;90,7;203,9;
Avesta;2084;Dalarnas län;20;Kommunal;269;75,5;90,7;203,9;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;103;68,9;79,6;198,8;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;103;68,9;79,6;198,8;
Berg;2326;Jämtlands län;23;Samtliga;93;82,8;94,6;211,9;
Berg;2326;Jämtlands län;23;Kommunal;93;82,8;94,6;211,9;
Bjurholm;2403;Västerbottens län;24;Samtliga;32;96,9;100,0;220,2;
Bjurholm;2403;Västerbottens län;24;Kommunal;32;96,9;100,0;220,2;
Bjuv;1260;Skåne län;12;Samtliga;176;62,5;83,5;196,3;
Bjuv;1260;Skåne län;12;Kommunal;147;56,5;81,6;189,4;
Bjuv;1260;Skåne län;12;Enskild;29;93,1;~100;230,7;
Boden;2582;Norrbottens län;25;Samtliga;366;82,2;88,3;205,9;
Boden;2582;Norrbottens län;25;Kommunal;343;82,8;88,9;207,3;
Boden;2582;Norrbottens län;25;Enskild;23;73,9;78,3;185,7;
Bollebygd;1443;Västra Götalands län;14;Samtliga;119;80,7;88,2;202,0;
Bollebygd;1443;Västra Götalands län;14;Kommunal;119;80,7;88,2;202,0;
Bollnäs;2183;Gävleborgs län;21;Samtliga;265;77,4;84,5;196,5;
Bollnäs;2183;Gävleborgs län;21;Kommunal;260;77,7;85,0;196,6;
Bollnäs;2183;Gävleborgs län;21;Enskild;..;..;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;115;72,2;92,2;201,6;
Borgholm;0885;Kalmar län;08;Kommunal;115;72,2;92,2;201,6;
Borlänge;2081;Dalarnas län;20;Samtliga;667;69,3;83,5;196,4;
Borlänge;2081;Dalarnas län;20;Kommunal;648;70,5;84,9;197,3;
Borlänge;2081;Dalarnas län;20;Enskild;19;..;..;163,8;
Borås;1490;Västra Götalands län;14;Samtliga;1 296;74,4;86,1;209,6;
Borås;1490;Västra Götalands län;14;Kommunal;1 189;73,8;85,4;208,0;
Borås;1490;Västra Götalands län;14;Enskild;107;80,4;93,5;227,4;
Botkyrka;0127;Stockholms län;01;Samtliga;1 061;73,1;86,1;206,4;
Botkyrka;0127;Stockholms län;01;Kommunal;869;71,2;84,3;201,5;
Botkyrka;0127;Stockholms län;01;Enskild;192;81,8;94,3;228,1;
Boxholm;0560;Östergötlands län;05;Samtliga;82;68,3;89,0;197,1;
Boxholm;0560;Östergötlands län;05;Kommunal;82;68,3;89,0;197,1;
Bromölla;1272;Skåne län;12;Samtliga;156;78,8;85,3;207,0;
Bromölla;1272;Skåne län;12;Kommunal;156;78,8;85,3;207,0;
Bräcke;2305;Jämtlands län;23;Samtliga;100;71,0;88,0;196,1;
Bräcke;2305;Jämtlands län;23;Kommunal;100;71,0;88,0;196,1;
Burlöv;1231;Skåne län;12;Samtliga;187;73,3;91,4;209,1;
Burlöv;1231;Skåne län;12;Kommunal;187;73,3;91,4;209,1;
Båstad;1278;Skåne län;12;Samtliga;165;89,1;95,8;209,6;
Båstad;1278;Skåne län;12;Kommunal;165;89,1;95,8;209,6;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;55;56,4;76,4;188,4;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;55;56,4;76,4;188,4;
Danderyd;0162;Stockholms län;01;Samtliga;479;92,5;98,3;252,2;
Danderyd;0162;Stockholms län;01;Kommunal;311;94,5;98,4;248,3;
Danderyd;0162;Stockholms län;01;Enskild;168;88,7;~100;259,3;
Degerfors;1862;Örebro län;18;Samtliga;118;60,2;76,3;174,9;
Degerfors;1862;Örebro län;18;Kommunal;118;60,2;76,3;174,9;
Dorotea;2425;Västerbottens län;24;Samtliga;33;78,8;84,8;194,7;
Dorotea;2425;Västerbottens län;24;Kommunal;33;78,8;84,8;194,7;
Eda;1730;Värmlands län;17;Samtliga;105;79,0;85,7;204,3;
Eda;1730;Värmlands län;17;Kommunal;105;79,0;85,7;204,3;
Ekerö;0125;Stockholms län;01;Samtliga;335;83,9;96,1;218,4;
Ekerö;0125;Stockholms län;01;Kommunal;300;83,0;95,7;216,2;
Ekerö;0125;Stockholms län;01;Enskild;35;91,4;100,0;236,9;
Eksjö;0686;Jönköpings län;06;Samtliga;212;75,9;89,6;201,5;
Eksjö;0686;Jönköpings län;06;Kommunal;199;80,9;94,0;209,4;
Eksjö;0686;Jönköpings län;06;Enskild;13;.;..;81,5;
Emmaboda;0862;Kalmar län;08;Samtliga;119;77,3;89,1;203,0;
Emmaboda;0862;Kalmar län;08;Kommunal;119;77,3;89,1;203,0;
Enköping;0381;Uppsala län;03;Samtliga;543;75,0;85,8;204,1;
Enköping;0381;Uppsala län;03;Kommunal;437;72,8;84,0;199,4;
Enköping;0381;Uppsala län;03;Enskild;106;84,0;93,4;223,5;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 210;73,8;83,6;202,8;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 008;70,2;81,1;190,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;202;91,6;96,0;261,0;
Eslöv;1285;Skåne län;12;Samtliga;421;74,3;83,4;202,2;
Eslöv;1285;Skåne län;12;Kommunal;421;74,3;83,4;202,2;
Essunga;1445;Västra Götalands län;14;Samtliga;81;96,3;100,0;234,2;
Essunga;1445;Västra Götalands län;14;Kommunal;81;96,3;100,0;234,2;
Fagersta;1982;Västmanlands län;19;Samtliga;145;80,7;90,3;199,0;
Fagersta;1982;Västmanlands län;19;Kommunal;145;80,7;90,3;199,0;
Falkenberg;1382;Hallands län;13;Samtliga;526;71,7;83,8;190,1;
Falkenberg;1382;Hallands län;13;Kommunal;526;71,7;83,8;190,1;
Falköping;1499;Västra Götalands län;14;Samtliga;384;73,4;88,0;202,4;
Falköping;1499;Västra Götalands län;14;Kommunal;382;73,8;88,5;203,3;
Falköping;1499;Västra Götalands län;14;Enskild;..;.;.;..;
Falun;2080;Dalarnas län;20;Samtliga;727;77,4;86,1;205,6;
Falun;2080;Dalarnas län;20;Kommunal;673;77,4;85,6;204,7;
Falun;2080;Dalarnas län;20;Enskild;54;77,8;~100;216,3;
Filipstad;1782;Värmlands län;17;Samtliga;123;71,5;82,1;207,3;
Filipstad;1782;Värmlands län;17;Kommunal;123;71,5;82,1;207,3;
Finspång;0562;Östergötlands län;05;Samtliga;279;78,9;87,5;206,5;
Finspång;0562;Östergötlands län;05;Kommunal;279;78,9;87,5;206,5;
Flen;0482;Södermanlands län;04;Samtliga;232;56,5;83,2;188,7;
Flen;0482;Södermanlands län;04;Kommunal;222;56,8;82,9;189,9;
Flen;0482;Södermanlands län;04;Enskild;10;..;..;162,5;
Forshaga;1763;Värmlands län;17;Samtliga;161;80,1;86,3;197,0;
Forshaga;1763;Värmlands län;17;Kommunal;161;80,1;86,3;197,0;
Färgelanda;1439;Västra Götalands län;14;Samtliga;103;67,0;88,3;186,5;
Färgelanda;1439;Västra Götalands län;14;Kommunal;103;67,0;88,3;186,5;
Gagnef;2026;Dalarnas län;20;Samtliga;146;87,7;~100;218,7;
Gagnef;2026;Dalarnas län;20;Kommunal;146;87,7;~100;218,7;
Gislaved;0662;Jönköpings län;06;Samtliga;436;72,7;83,7;196,8;
Gislaved;0662;Jönköpings län;06;Kommunal;436;72,7;83,7;196,8;
Gnesta;0461;Södermanlands län;04;Samtliga;144;78,5;88,9;207,9;
Gnesta;0461;Södermanlands län;04;Kommunal;134;78,4;89,6;208,0;
Gnesta;0461;Södermanlands län;04;Enskild;10;..;..;206,0;
Gnosjö;0617;Jönköpings län;06;Samtliga;153;72,5;85,6;205,9;
Gnosjö;0617;Jönköpings län;06;Kommunal;153;72,5;85,6;205,9;
Gotland;0980;Gotlands län;09;Samtliga;744;80,2;88,3;207,4;
Gotland;0980;Gotlands län;09;Kommunal;651;82,0;88,8;209,9;
Gotland;0980;Gotlands län;09;Enskild;93;67,0;84,6;189,0;
Grums;1764;Värmlands län;17;Samtliga;106;67,0;78,3;180,6;
Grums;1764;Värmlands län;17;Kommunal;106;67,0;78,3;180,6;
Grästorp;1444;Västra Götalands län;14;Samtliga;75;78,7;88,0;190,8;
Grästorp;1444;Västra Götalands län;14;Kommunal;75;78,7;88,0;190,8;
Gullspång;1447;Västra Götalands län;14;Samtliga;55;70,9;85,5;195,6;
Gullspång;1447;Västra Götalands län;14;Kommunal;55;70,9;85,5;195,6;
Gällivare;2523;Norrbottens län;25;Samtliga;228;86,8;91,2;222,9;
Gällivare;2523;Norrbottens län;25;Kommunal;208;85,6;90,4;221,7;
Gällivare;2523;Norrbottens län;25;Enskild;20;100,0;100,0;234,8;
Gävle;2180;Gävleborgs län;21;Samtliga;1 115;73,5;90,2;204,6;
Gävle;2180;Gävleborgs län;21;Kommunal;870;70,8;88,3;197,9;
Gävle;2180;Gävleborgs län;21;Enskild;245;82,9;97,1;227,9;
Göteborg;1480;Västra Götalands län;14;Samtliga;5 140;73,7;87,2;210,4;
Göteborg;1480;Västra Götalands län;14;Kommunal;4 008;72,5;85,7;205,7;
