Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2011/12

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;296;71,6;84,8;201,1;
Ale;1440;Västra Götalands län;14;Kommunal;296;71,6;84,8;201,1;
Alingsås;1489;Västra Götalands län;14;Samtliga;455;84,7;92,5;219,6;
Alingsås;1489;Västra Götalands län;14;Kommunal;371;81,7;90,8;215,9;
Alingsås;1489;Västra Götalands län;14;Enskild;84;98,8;100,0;236,5;
Alvesta;0764;Kronobergs län;07;Samtliga;169;77,5;87,6;208,7;
Alvesta;0764;Kronobergs län;07;Kommunal;169;77,5;87,6;208,7;
Aneby;0604;Jönköpings län;06;Samtliga;78;80,8;92,3;183,8;
Aneby;0604;Jönköpings län;06;Kommunal;76;82,9;93,4;186,3;
Aneby;0604;Jönköpings län;06;Enskild;..;.;..;..;
Arboga;1984;Västmanlands län;19;Samtliga;152;73,7;85,5;208,5;
Arboga;1984;Västmanlands län;19;Kommunal;152;73,7;85,5;208,5;
Arjeplog;2506;Norrbottens län;25;Samtliga;32;87,5;100,0;217,2;
Arjeplog;2506;Norrbottens län;25;Kommunal;32;87,5;100,0;217,2;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;66;83,3;90,9;201,3;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;66;83,3;90,9;201,3;
Arvika;1784;Värmlands län;17;Samtliga;282;72,7;84,4;205,9;
Arvika;1784;Värmlands län;17;Kommunal;238;69,3;82,8;204,1;
Arvika;1784;Värmlands län;17;Enskild;44;90,9;~100;215,2;
Askersund;1882;Örebro län;18;Samtliga;96;69,8;80,2;194,3;
Askersund;1882;Örebro län;18;Kommunal;96;69,8;80,2;194,3;
Avesta;2084;Dalarnas län;20;Samtliga;217;76,0;86,2;207,9;
Avesta;2084;Dalarnas län;20;Kommunal;217;76,0;86,2;207,9;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;112;67,0;89,3;203,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;112;67,0;89,3;203,2;
Berg;2326;Jämtlands län;23;Samtliga;67;74,6;86,6;196,6;
Berg;2326;Jämtlands län;23;Kommunal;67;74,6;86,6;196,6;
