Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2010/11

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (16);
Ale;1440;Västra Götalands län;14;Samtliga;362;73,2;83,7;205,2;
Ale;1440;Västra Götalands län;14;Kommunal;320;70,6;81,9;200,0;
Ale;1440;Västra Götalands län;14;Enskild;42;92,9;~100;243,6;
Alingsås;1489;Västra Götalands län;14;Samtliga;515;89,7;95,1;223,2;
Alingsås;1489;Västra Götalands län;14;Kommunal;433;88,5;94,2;220,9;
Alingsås;1489;Västra Götalands län;14;Enskild;82;96,3;100,0;235,5;
Alvesta;0764;Kronobergs län;07;Samtliga;223;79,4;89,2;199,3;
Alvesta;0764;Kronobergs län;07;Kommunal;223;79,4;89,2;199,3;
Aneby;0604;Jönköpings län;06;Samtliga;77;74,0;87,0;194,7;
Aneby;0604;Jönköpings län;06;Kommunal;76;75,0;88,2;194,7;
Aneby;0604;Jönköpings län;06;Enskild;..;.;.;.;
Arboga;1984;Västmanlands län;19;Samtliga;163;80,4;93,9;221,8;
Arboga;1984;Västmanlands län;19;Kommunal;163;80,4;93,9;221,8;
Arjeplog;2506;Norrbottens län;25;Samtliga;33;72,7;84,8;205,5;
Arjeplog;2506;Norrbottens län;25;Kommunal;33;72,7;84,8;205,5;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;49;81,6;100,0;214,1;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;49;81,6;100,0;214,1;
Arvika;1784;Värmlands län;17;Samtliga;298;74,2;86,6;206,4;
Arvika;1784;Värmlands län;17;Kommunal;261;72,0;84,7;204,2;
Arvika;1784;Värmlands län;17;Enskild;37;89,2;100,0;221,9;
Askersund;1882;Örebro län;18;Samtliga;122;75,4;85,2;200,9;
Askersund;1882;Örebro län;18;Kommunal;122;75,4;85,2;200,9;
Avesta;2084;Dalarnas län;20;Samtliga;225;78,7;90,2;211,5;
Avesta;2084;Dalarnas län;20;Kommunal;225;78,7;90,2;211,5;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;103;62,1;71,8;193,8;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;103;62,1;71,8;193,8;
Berg;2326;Jämtlands län;23;Samtliga;83;74,7;84,3;206,2;
Berg;2326;Jämtlands län;23;Kommunal;83;74,7;84,3;206,2;
Bjurholm;2403;Västerbottens län;24;Samtliga;42;95,2;~100;221,1;
Bjurholm;2403;Västerbottens län;24;Kommunal;42;95,2;~100;221,1;
Bjuv;1260;Skåne län;12;Samtliga;187;64,2;84,0;192,2;
Bjuv;1260;Skåne län;12;Kommunal;158;60,1;83,5;185,7;
Bjuv;1260;Skåne län;12;Enskild;29;86,2;~100;227,4;
Boden;2582;Norrbottens län;25;Samtliga;294;77,9;92,2;215,3;
Boden;2582;Norrbottens län;25;Kommunal;269;77,7;92,9;215,8;
Boden;2582;Norrbottens län;25;Enskild;25;80,0;~100;210,0;
Bollebygd;1443;Västra Götalands län;14;Samtliga;93;81,7;94,6;209,8;
Bollebygd;1443;Västra Götalands län;14;Kommunal;93;81,7;94,6;209,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;294;77,9;87,4;200,1;
Bollnäs;2183;Gävleborgs län;21;Kommunal;225;75,6;84,9;194,0;
Bollnäs;2183;Gävleborgs län;21;Enskild;69;85,5;~100;220,0;
Borgholm;0885;Kalmar län;08;Samtliga;129;79,1;88,4;202,6;
Borgholm;0885;Kalmar län;08;Kommunal;129;79,1;88,4;202,6;
Borlänge;2081;Dalarnas län;20;Samtliga;606;68,8;81,7;194,5;
Borlänge;2081;Dalarnas län;20;Kommunal;581;71,3;83,6;196,8;
Borlänge;2081;Dalarnas län;20;Enskild;25;..;..;131,2;
Borås;1490;Västra Götalands län;14;Samtliga;1 203;79,3;87,9;211,1;
Borås;1490;Västra Götalands län;14;Kommunal;1 052;78,0;87,5;208,9;
Borås;1490;Västra Götalands län;14;Enskild;151;88,1;90,7;226,0;
Botkyrka;0127;Stockholms län;01;Samtliga;1 040;70,9;83,0;204,6;
Botkyrka;0127;Stockholms län;01;Kommunal;899;69,1;81,5;200,9;
Botkyrka;0127;Stockholms län;01;Enskild;141;82,3;92,2;228,0;
Boxholm;0560;Östergötlands län;05;Samtliga;47;57,4;76,6;183,0;
Boxholm;0560;Östergötlands län;05;Kommunal;47;57,4;76,6;183,0;
Bromölla;1272;Skåne län;12;Samtliga;135;72,6;85,2;198,3;
Bromölla;1272;Skåne län;12;Kommunal;135;72,6;85,2;198,3;
Bräcke;2305;Jämtlands län;23;Samtliga;90;71,1;90,0;196,6;
Bräcke;2305;Jämtlands län;23;Kommunal;90;71,1;90,0;196,6;
Burlöv;1231;Skåne län;12;Samtliga;188;75,0;89,9;209,8;
Burlöv;1231;Skåne län;12;Kommunal;188;75,0;89,9;209,8;
Båstad;1278;Skåne län;12;Samtliga;169;88,8;96,4;211,0;
Båstad;1278;Skåne län;12;Kommunal;169;88,8;96,4;211,0;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;57;89,5;~100;221,7;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;57;89,5;~100;221,7;
Danderyd;0162;Stockholms län;01;Samtliga;470;94,0;97,7;255,8;
Danderyd;0162;Stockholms län;01;Kommunal;302;92,4;97,0;251,6;
Danderyd;0162;Stockholms län;01;Enskild;168;97,0;~100;263,5;
Degerfors;1862;Örebro län;18;Samtliga;114;61,4;75,4;179,1;
Degerfors;1862;Örebro län;18;Kommunal;114;61,4;75,4;179,1;
Dorotea;2425;Västerbottens län;24;Samtliga;27;85,2;100,0;219,3;
Dorotea;2425;Västerbottens län;24;Kommunal;27;85,2;100,0;219,3;
Eda;1730;Värmlands län;17;Samtliga;102;76,5;84,3;199,6;
Eda;1730;Värmlands län;17;Kommunal;102;76,5;84,3;199,6;
Ekerö;0125;Stockholms län;01;Samtliga;301;88,4;96,0;222,0;
Ekerö;0125;Stockholms län;01;Kommunal;262;87,4;95,4;218,2;
Ekerö;0125;Stockholms län;01;Enskild;39;94,9;100,0;247,4;
Eksjö;0686;Jönköpings län;06;Samtliga;197;78,2;87,8;203,4;
Eksjö;0686;Jönköpings län;06;Kommunal;187;82,4;92,0;211,4;
Eksjö;0686;Jönköpings län;06;Enskild;10;.;..;57,0;
Emmaboda;0862;Kalmar län;08;Samtliga;100;82,0;88,0;204,7;
Emmaboda;0862;Kalmar län;08;Kommunal;100;82,0;88,0;204,7;
Enköping;0381;Uppsala län;03;Samtliga;558;76,5;88,7;205,1;
Enköping;0381;Uppsala län;03;Kommunal;459;74,7;87,8;201,6;
Enköping;0381;Uppsala län;03;Enskild;99;84,8;92,9;221,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 188;73,7;83,7;200,7;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 042;71,6;81,9;191,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;146;88,4;96,6;262,4;
Eslöv;1285;Skåne län;12;Samtliga;399;71,7;83,5;199,4;
Eslöv;1285;Skåne län;12;Kommunal;399;71,7;83,5;199,4;
Essunga;1445;Västra Götalands län;14;Samtliga;66;89,4;~100;226,0;
Essunga;1445;Västra Götalands län;14;Kommunal;66;89,4;~100;226,0;
Fagersta;1982;Västmanlands län;19;Samtliga;135;71,9;84,4;201,4;
Fagersta;1982;Västmanlands län;19;Kommunal;120;75,0;84,2;203,8;
Fagersta;1982;Västmanlands län;19;Enskild;15;..;~100;182,3;
