Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2016/17

;;;;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Haninge;0136;Stockholms län;01;Kommunal;605;71,1;84,8;216,0;285;47,1;75,8;87,4;234,3;320;52,9;66,9;82,5;199,8;
Haninge;0136;Stockholms län;01;Enskild;164;84,8;91,5;236,7;67;40,9;85,1;92,5;243,5;97;59,1;84,5;90,7;231,9;
Haparanda;2583;Norrbottens län;25;Samtliga;124;57,3;66,9;184,8;54;43,5;64,8;75,9;211,9;70;56,5;51,4;60,0;163,9;
Haparanda;2583;Norrbottens län;25;Kommunal;124;57,3;66,9;184,8;54;43,5;64,8;75,9;211,9;70;56,5;51,4;60,0;163,9;
Heby;0331;Uppsala län;03;Samtliga;167;68,3;82,0;204,7;72;43,1;70,8;83,3;219,0;95;56,9;66,3;81,1;193,9;
Heby;0331;Uppsala län;03;Kommunal;167;68,3;82,0;204,7;72;43,1;70,8;83,3;219,0;95;56,9;66,3;81,1;193,9;
Hedemora;2083;Dalarnas län;20;Samtliga;195;71,3;80,5;203,7;102;52,3;80,4;85,3;225,9;93;47,7;61,3;75,3;179,5;
Hedemora;2083;Dalarnas län;20;Kommunal;148;69,6;79,1;197,5;76;51,4;80,3;82,9;220,1;72;48,6;58,3;75,0;174,3;
Hedemora;2083;Dalarnas län;20;Enskild;47;76,6;85,1;223,3;26;55,3;80,8;~100;242,3;21;44,7;71,4;76,2;198,5;
Helsingborg;1283;Skåne län;12;Samtliga;1 576;76,9;85,5;234,1;758;48,1;79,9;89,4;251,2;818;51,9;74,1;81,9;218,3;
Helsingborg;1283;Skåne län;12;Kommunal;1 025;73,7;82,7;227,5;476;46,4;78,0;87,0;248,7;549;53,6;70,0;78,9;209,1;
Helsingborg;1283;Skåne län;12;Enskild;551;82,6;90,6;245,9;282;51,2;83,0;93,3;255,3;269;48,8;82,2;87,7;236,1;
Herrljunga;1466;Västra Götalands län;14;Samtliga;104;77,9;84,6;215,1;44;42,3;75,0;86,4;230,0;60;57,7;80,0;83,3;204,1;
Herrljunga;1466;Västra Götalands län;14;Kommunal;104;77,9;84,6;215,1;44;42,3;75,0;86,4;230,0;60;57,7;80,0;83,3;204,1;
Hjo;1497;Västra Götalands län;14;Samtliga;95;84,2;89,5;228,5;45;47,4;84,4;~100;232,3;50;52,6;84,0;88,0;225,2;
Hjo;1497;Västra Götalands län;14;Kommunal;95;84,2;89,5;228,5;45;47,4;84,4;~100;232,3;50;52,6;84,0;88,0;225,2;
Hofors;2104;Gävleborgs län;21;Samtliga;89;76,4;82,0;218,8;35;39,3;85,7;~100;228,1;54;60,7;70,4;77,8;212,7;
Hofors;2104;Gävleborgs län;21;Kommunal;89;76,4;82,0;218,8;35;39,3;85,7;~100;228,1;54;60,7;70,4;77,8;212,7;
Huddinge;0126;Stockholms län;01;Samtliga;1 257;81,4;87,4;237,7;534;42,5;84,8;91,6;255,3;723;57,5;78,8;84,2;224,5;
Huddinge;0126;Stockholms län;01;Kommunal;978;79,4;84,5;228,8;403;41,2;83,4;89,3;247,8;575;58,8;76,7;81,0;215,3;
Huddinge;0126;Stockholms län;01;Enskild;279;88,2;97,5;268,6;131;47,0;89,3;~100;278,3;148;53,0;87,2;96,6;260,0;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;409;67,2;77,5;206,5;179;43,8;72,6;79,9;221,1;230;56,2;63,0;75,7;195,4;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;332;66,0;74,7;206,5;149;44,9;72,5;78,5;222,0;183;55,1;60,7;71,6;194,1;
Hudiksvall;2184;Gävleborgs län;21;Enskild;77;72,7;89,6;206,6;30;39,0;73,3;~100;216,3;47;61,0;72,3;~100;200,7;
Hultsfred;0860;Kalmar län;08;Samtliga;125;60,0;68,8;189,4;56;44,8;67,9;75,0;224,0;69;55,2;53,6;63,8;161,9;
Hultsfred;0860;Kalmar län;08;Kommunal;99;59,6;68,7;195,2;48;48,5;68,8;75,0;228,4;51;51,5;51,0;62,7;164,7;
Hultsfred;0860;Kalmar län;08;Enskild;26;61,5;69,2;167,6;..;..;..;..;..;..;..;61,1;66,7;154,2;
Hylte;1315;Hallands län;13;Samtliga;154;60,4;72,1;195,9;68;44,2;75,0;77,9;220,8;86;55,8;48,8;67,4;176,4;
Hylte;1315;Hallands län;13;Kommunal;147;58,5;70,7;193,3;66;44,9;74,2;77,3;217,9;81;55,1;45,7;65,4;173,5;
Hylte;1315;Hallands län;13;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Håbo;0305;Uppsala län;03;Samtliga;290;76,2;88,3;223,9;131;45,2;82,4;90,8;246,5;159;54,8;71,1;86,2;205,3;
Håbo;0305;Uppsala län;03;Kommunal;243;73,3;86,8;215,9;104;42,8;80,8;89,4;241,1;139;57,2;67,6;84,9;197,0;
Håbo;0305;Uppsala län;03;Enskild;47;91,5;~100;267,6;27;57,4;88,9;~100;268,5;20;42,6;95,0;~100;266,3;
Hällefors;1863;Örebro län;18;Samtliga;65;64,6;72,3;196,5;27;41,5;66,7;70,4;209,9;38;58,5;63,2;73,7;187,1;
Hällefors;1863;Örebro län;18;Kommunal;65;64,6;72,3;196,5;27;41,5;66,7;70,4;209,9;38;58,5;63,2;73,7;187,1;
Härjedalen;2361;Jämtlands län;23;Samtliga;102;69,6;76,5;197,7;48;47,1;81,3;83,3;223,6;54;52,9;59,3;70,4;174,7;
Härjedalen;2361;Jämtlands län;23;Kommunal;102;69,6;76,5;197,7;48;47,1;81,3;83,3;223,6;54;52,9;59,3;70,4;174,7;
Härnösand;2280;Västernorrlands län;22;Samtliga;260;68,8;77,3;213,5;126;48,5;70,6;81,0;226,2;134;51,5;67,2;73,9;201,5;
Härnösand;2280;Västernorrlands län;22;Kommunal;249;68,3;77,1;212,1;121;48,6;70,2;81,0;225,8;128;51,4;66,4;73,4;199,3;
Härnösand;2280;Västernorrlands län;22;Enskild;11;..;..;247,0;..;..;..;..;..;..;..;..;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;433;84,1;91,0;240,1;214;49,4;88,3;91,6;254,8;219;50,6;79,9;90,4;225,6;
Härryda;1401;Västra Götalands län;14;Kommunal;364;82,4;89,6;236,2;179;49,2;86,6;89,9;251,2;185;50,8;78,4;89,2;221,6;
Härryda;1401;Västra Götalands län;14;Enskild;69;92,8;~100;260,4;35;50,7;97,1;100,0;273,3;34;49,3;88,2;~100;247,1;
Hässleholm;1293;Skåne län;12;Samtliga;613;66,2;73,6;201,8;270;44,0;73,0;80,0;226,0;343;56,0;60,9;68,5;182,7;
Hässleholm;1293;Skåne län;12;Kommunal;571;65,7;72,7;198,0;244;42,7;72,1;78,3;220,9;327;57,3;60,9;68,5;180,9;
Hässleholm;1293;Skåne län;12;Enskild;42;73,8;85,7;252,6;26;61,9;80,8;~100;273,2;16;38,1;62,5;68,8;219,1;
Höganäs;1284;Skåne län;12;Samtliga;287;85,7;88,2;231,7;115;40,1;93,0;94,8;261,1;172;59,9;80,8;83,7;211,8;
Höganäs;1284;Skåne län;12;Kommunal;274;85,8;88,0;229,8;107;39,1;93,5;95,3;259,8;167;60,9;80,8;83,2;210,3;
Höganäs;1284;Skåne län;12;Enskild;13;84,6;~100;271,5;..;..;..;..;..;..;..;..;..;..;
Högsby;0821;Kalmar län;08;Samtliga;71;67,6;76,1;197,7;29;40,8;72,4;~100;216,8;42;59,2;64,3;66,7;184,5;
Högsby;0821;Kalmar län;08;Kommunal;71;67,6;76,1;197,7;29;40,8;72,4;~100;216,8;42;59,2;64,3;66,7;184,5;
Hörby;1266;Skåne län;12;Samtliga;182;68,1;77,5;207,9;80;44,0;83,8;90,0;240,0;102;56,0;55,9;67,6;181,7;
Hörby;1266;Skåne län;12;Kommunal;161;65,2;75,8;201,9;71;44,1;81,7;88,7;231,8;90;55,9;52,2;65,6;177,4;
Hörby;1266;Skåne län;12;Enskild;21;90,5;~100;251,8;..;..;..;..;..;..;..;83,3;~100;212,7;
Höör;1267;Skåne län;12;Samtliga;183;69,4;77,0;212,2;81;44,3;84,0;90,1;254,8;102;55,7;57,8;66,7;177,4;
Höör;1267;Skåne län;12;Kommunal;162;69,1;77,2;211,4;76;46,9;84,2;90,8;253,6;86;53,1;55,8;65,1;172,9;
Höör;1267;Skåne län;12;Enskild;21;71,4;76,2;217,9;..;..;..;..;..;..;..;68,8;~100;200,6;
Jokkmokk;2510;Norrbottens län;25;Samtliga;39;76,9;82,1;226,6;18;46,2;94,4;~100;260,0;21;53,8;61,9;71,4;199,5;
Jokkmokk;2510;Norrbottens län;25;Kommunal;31;80,6;83,9;232,7;15;48,4;100,0;100,0;265,2;16;51,6;62,5;68,8;202,3;
Jokkmokk;2510;Norrbottens län;25;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Järfälla;0123;Stockholms län;01;Samtliga;905;76,2;83,6;229,9;415;45,9;82,2;88,7;247,1;490;54,1;71,2;79,4;215,2;
Järfälla;0123;Stockholms län;01;Kommunal;702;71,2;79,8;219,6;315;44,9;77,1;85,4;237,3;387;55,1;66,4;75,2;205,0;
Järfälla;0123;Stockholms län;01;Enskild;203;93,6;97,0;265,2;100;49,3;98,0;~100;277,8;103;50,7;89,3;95,1;252,9;
Jönköping;0680;Jönköpings län;06;Samtliga;1 455;75,9;83,6;225,2;721;49,6;80,4;87,1;243,4;734;50,4;71,4;80,2;207,2;
Jönköping;0680;Jönköpings län;06;Kommunal;1 175;75,1;83,4;221,5;575;48,9;80,7;87,1;240,5;600;51,1;69,8;79,8;203,3;
Jönköping;0680;Jönköpings län;06;Enskild;280;78,9;84,6;241,3;146;52,1;79,5;87,0;254,5;134;47,9;78,4;82,1;226,1;
Kalix;2514;Norrbottens län;25;Samtliga;178;71,9;83,1;212,9;102;57,3;78,4;85,3;236,6;76;42,7;63,2;80,3;181,5;
Kalix;2514;Norrbottens län;25;Kommunal;170;71,8;83,5;213,7;97;57,1;79,4;86,6;240,6;73;42,9;61,6;79,5;178,1;
Kalix;2514;Norrbottens län;25;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Kalmar;0880;Kalmar län;08;Samtliga;695;80,4;85,9;225,2;316;45,5;84,8;90,8;244,4;379;54,5;76,8;81,8;208,9;
Kalmar;0880;Kalmar län;08;Kommunal;567;78,5;84,3;221,8;246;43,4;83,3;89,4;241,3;321;56,6;74,8;80,4;206,6;
Kalmar;0880;Kalmar län;08;Enskild;128;89,1;93,0;240,5;70;54,7;90,0;~100;255,5;58;45,3;87,9;89,7;222,1;
Karlsborg;1446;Västra Götalands län;14;Samtliga;52;88,5;~100;234,1;26;50,0;92,3;100,0;251,4;26;50,0;84,6;~100;216,8;
Karlsborg;1446;Västra Götalands län;14;Kommunal;52;88,5;~100;234,1;26;50,0;92,3;100,0;251,4;26;50,0;84,6;~100;216,8;
Karlshamn;1082;Blekinge län;10;Samtliga;347;63,7;70,3;200,7;155;44,7;72,3;76,1;226,2;192;55,3;56,8;65,6;180,3;
Karlshamn;1082;Blekinge län;10;Kommunal;315;60,6;67,9;197,4;143;45,4;69,9;74,1;224,4;172;54,6;52,9;62,8;175,2;
Karlshamn;1082;Blekinge län;10;Enskild;32;93,8;~100;232,6;12;37,5;100,0;100,0;246,9;20;62,5;90,0;~100;224,0;
Karlskoga;1883;Örebro län;18;Samtliga;343;66,8;72,6;209,2;157;45,8;74,5;77,7;234,7;186;54,2;60,2;68,3;188,4;
Karlskoga;1883;Örebro län;18;Kommunal;343;66,8;72,6;209,2;157;45,8;74,5;77,7;234,7;186;54,2;60,2;68,3;188,4;
Karlskrona;1080;Blekinge län;10;Samtliga;710;76,2;82,4;219,1;338;47,6;82,8;87,9;236,6;372;52,4;70,2;77,4;202,8;
Karlskrona;1080;Blekinge län;10;Kommunal;504;71,0;77,8;209,4;240;47,6;78,8;84,6;226,3;264;52,4;64,0;71,6;193,4;
Karlskrona;1080;Blekinge län;10;Enskild;206;88,8;93,7;242,8;98;47,6;92,9;~100;262,0;108;52,4;85,2;91,7;225,2;
Karlstad;1780;Värmlands län;17;Samtliga;920;81,5;87,6;230,5;458;49,8;81,9;87,8;246,0;462;50,2;81,2;87,4;215,0;
Karlstad;1780;Värmlands län;17;Kommunal;753;78,8;85,0;220,9;377;50,1;79,0;85,1;237,3;376;49,9;78,5;84,8;204,5;
Karlstad;1780;Värmlands län;17;Enskild;167;94,0;~100;273,0;81;48,5;95,1;100,0;286,3;86;51,5;93,0;~100;260,4;
Katrineholm;0483;Södermanlands län;04;Samtliga;441;69,2;79,4;207,0;216;49,0;76,4;84,3;226,1;225;51,0;62,2;74,7;188,6;
Katrineholm;0483;Södermanlands län;04;Kommunal;375;65,9;77,3;201,1;176;46,9;73,9;82,4;221,3;199;53,1;58,8;72,9;183,3;
Katrineholm;0483;Södermanlands län;04;Enskild;66;87,9;90,9;239,7;40;60,6;87,5;~100;246,9;26;39,4;88,5;~100;228,7;
Kil;1715;Värmlands län;17;Samtliga;135;70,4;88,9;206,4;53;39,3;69,8;90,6;216,8;82;60,7;70,7;87,8;199,7;
Kil;1715;Värmlands län;17;Kommunal;135;70,4;88,9;206,4;53;39,3;69,8;90,6;216,8;82;60,7;70,7;87,8;199,7;
Kinda;0513;Östergötlands län;05;Samtliga;88;86,4;89,8;230,0;52;59,1;86,5;88,5;233,0;36;40,9;86,1;~100;225,6;
Kinda;0513;Östergötlands län;05;Kommunal;88;86,4;89,8;230,0;52;59,1;86,5;88,5;233,0;36;40,9;86,1;~100;225,6;
Kiruna;2584;Norrbottens län;25;Samtliga;264;74,6;84,8;222,8;127;48,1;74,0;84,3;231,8;137;51,9;75,2;85,4;214,5;
Kiruna;2584;Norrbottens län;25;Kommunal;242;73,1;83,9;219,5;118;48,8;72,0;83,1;227,8;124;51,2;74,2;84,7;211,5;
Kiruna;2584;Norrbottens län;25;Enskild;22;90,9;~100;259,1;..;..;..;..;..;..;..;84,6;~100;242,7;
Klippan;1276;Skåne län;12;Samtliga;211;61,6;70,1;203,3;115;54,5;67,8;73,9;220,5;96;45,5;54,2;65,6;182,1;
Klippan;1276;Skåne län;12;Kommunal;175;64,6;71,4;204,8;93;53,1;68,8;73,1;220,8;82;46,9;59,8;69,5;186,3;
Klippan;1276;Skåne län;12;Enskild;36;47,2;63,9;195,8;22;61,1;63,6;77,3;219,4;14;38,9;..;..;154,4;
Knivsta;0330;Uppsala län;03;Samtliga;190;81,6;86,8;234,9;85;44,7;80,0;85,9;241,1;105;55,3;82,9;87,6;230,0;
Knivsta;0330;Uppsala län;03;Kommunal;180;81,7;87,2;236,2;83;46,1;80,7;86,7;242,1;97;53,9;82,5;87,6;231,1;
Knivsta;0330;Uppsala län;03;Enskild;10;..;..;213,3;..;..;..;..;..;..;..;..;..;..;
Kramfors;2282;Västernorrlands län;22;Samtliga;195;68,2;80,5;211,4;81;41,5;74,1;86,4;236,3;114;58,5;64,0;76,3;193,8;
Kramfors;2282;Västernorrlands län;22;Kommunal;195;68,2;80,5;211,4;81;41,5;74,1;86,4;236,3;114;58,5;64,0;76,3;193,8;
Kristianstad;1290;Skåne län;12;Samtliga;988;69,6;78,3;214,1;430;43,5;75,1;83,3;233,1;558;56,5;65,4;74,6;199,3;
Kristianstad;1290;Skåne län;12;Kommunal;894;68,7;77,3;213,0;382;42,7;74,6;82,7;233,4;512;57,3;64,3;73,2;197,6;
Kristianstad;1290;Skåne län;12;Enskild;94;78,7;88,3;224,4;48;51,1;79,2;87,5;230,4;46;48,9;78,3;89,1;218,3;
Kristinehamn;1781;Värmlands län;17;Samtliga;262;65,6;76,0;203,2;109;41,6;75,2;83,5;227,9;153;58,4;58,8;70,6;185,4;
Kristinehamn;1781;Värmlands län;17;Kommunal;262;65,6;76,0;203,2;109;41,6;75,2;83,5;227,9;153;58,4;58,8;70,6;185,4;
Krokom;2309;Jämtlands län;23;Samtliga;188;77,7;82,4;218,7;106;56,4;80,2;86,8;228,8;82;43,6;74,4;76,8;205,6;
Krokom;2309;Jämtlands län;23;Kommunal;188;77,7;82,4;218,7;106;56,4;80,2;86,8;228,8;82;43,6;74,4;76,8;205,6;
Kumla;1881;Örebro län;18;Samtliga;254;65,4;76,4;213,5;112;44,1;68,8;80,4;229,1;142;55,9;62,7;73,2;200,8;
Kumla;1881;Örebro län;18;Kommunal;254;65,4;76,4;213,5;112;44,1;68,8;80,4;229,1;142;55,9;62,7;73,2;200,8;
Kungsbacka;1384;Hallands län;13;Samtliga;1 105;80,7;87,3;231,6;497;45,0;87,5;94,2;249,9;608;55,0;75,2;81,7;216,5;
Kungsbacka;1384;Hallands län;13;Kommunal;1 011;79,3;86,3;228,8;448;44,3;86,8;93,5;248,1;563;55,7;73,4;80,5;213,2;
Kungsbacka;1384;Hallands län;13;Enskild;94;95,7;~100;261,8;49;52,1;93,9;100,0;265,9;45;47,9;97,8;~100;257,3;
Kungsör;1960;Västmanlands län;19;Samtliga;103;69,9;81,6;213,6;44;42,7;77,3;88,6;221,6;59;57,3;64,4;76,3;207,1;
Kungsör;1960;Västmanlands län;19;Kommunal;103;69,9;81,6;213,6;44;42,7;77,3;88,6;221,6;59;57,3;64,4;76,3;207,1;
Kungälv;1482;Västra Götalands län;14;Samtliga;495;82,2;87,9;235,1;231;46,7;83,1;89,6;247,0;264;53,3;81,4;86,4;224,9;
Kungälv;1482;Västra Götalands län;14;Kommunal;423;82,3;87,9;233,7;190;44,9;83,7;90,0;247,7;233;55,1;81,1;86,3;222,4;
Kungälv;1482;Västra Götalands län;14;Enskild;72;81,9;87,5;243,4;41;56,9;80,5;87,8;243,4;31;43,1;83,9;~100;243,3;
Kävlinge;1261;Skåne län;12;Samtliga;342;81,9;89,2;232,2;177;51,8;82,5;89,8;244,8;165;48,2;81,2;88,5;218,9;
Kävlinge;1261;Skåne län;12;Kommunal;288;81,3;88,5;231,2;143;49,7;83,2;90,2;246,8;145;50,3;79,3;86,9;216,0;
Kävlinge;1261;Skåne län;12;Enskild;54;85,2;~100;237,5;34;63,0;79,4;~100;236,1;20;37,0;95,0;100,0;239,8;
Köping;1983;Västmanlands län;19;Samtliga;258;70,2;88,8;208,9;124;48,1;73,4;90,3;219,3;134;51,9;67,2;87,3;199,2;
Köping;1983;Västmanlands län;19;Kommunal;258;70,2;88,8;208,9;124;48,1;73,4;90,3;219,3;134;51,9;67,2;87,3;199,2;
Laholm;1381;Hallands län;13;Samtliga;277;67,9;77,6;211,5;125;45,1;72,8;81,6;227,7;152;54,9;63,8;74,3;198,2;
Laholm;1381;Hallands län;13;Kommunal;277;67,9;77,6;211,5;125;45,1;72,8;81,6;227,7;152;54,9;63,8;74,3;198,2;
Landskrona;1282;Skåne län;12;Samtliga;503;70,0;78,9;224,0;235;46,7;75,7;84,3;247,2;268;53,3;64,9;74,3;203,4;
Landskrona;1282;Skåne län;12;Kommunal;386;65,8;76,7;217,5;181;46,9;71,3;81,8;239,8;205;53,1;61,0;72,2;197,5;
Landskrona;1282;Skåne län;12;Enskild;117;83,8;86,3;245,2;54;46,2;90,7;~100;272,2;63;53,8;77,8;81,0;222,1;
Laxå;1860;Örebro län;18;Samtliga;67;50,7;64,2;163,8;35;52,2;62,9;74,3;192,6;32;47,8;37,5;53,1;132,3;
Laxå;1860;Örebro län;18;Kommunal;67;50,7;64,2;163,8;35;52,2;62,9;74,3;192,6;32;47,8;37,5;53,1;132,3;
Lekeberg;1814;Örebro län;18;Samtliga;64;92,2;92,2;224,4;27;42,2;100,0;100,0;255,9;37;57,8;86,5;86,5;201,4;
Lekeberg;1814;Örebro län;18;Kommunal;64;92,2;92,2;224,4;27;42,2;100,0;100,0;255,9;37;57,8;86,5;86,5;201,4;
Leksand;2029;Dalarnas län;20;Samtliga;162;75,3;82,1;222,7;74;45,7;77,0;86,5;239,3;88;54,3;73,9;78,4;208,4;
Leksand;2029;Dalarnas län;20;Kommunal;158;75,3;81,6;222,1;71;44,9;77,5;85,9;239,2;87;55,1;73,6;78,2;207,8;
Leksand;2029;Dalarnas län;20;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Lerum;1441;Västra Götalands län;14;Samtliga;563;76,4;83,5;221,8;248;44,0;82,7;88,7;243,6;315;56,0;71,4;79,4;204,8;
Lerum;1441;Västra Götalands län;14;Kommunal;535;75,7;82,6;219,9;230;43,0;82,6;87,8;242,7;305;57,0;70,5;78,7;202,8;
Lerum;1441;Västra Götalands län;14;Enskild;28;89,3;100,0;257,5;18;64,3;83,3;100,0;253,9;10;35,7;100,0;100,0;264,0;
Lessebo;0761;Kronobergs län;07;Samtliga;111;56,8;64,0;189,7;53;47,7;73,6;75,5;209,6;58;52,3;41,4;53,4;169,9;
Lessebo;0761;Kronobergs län;07;Kommunal;111;56,8;64,0;189,7;53;47,7;73,6;75,5;209,6;58;52,3;41,4;53,4;169,9;
Lidingö;0186;Stockholms län;01;Samtliga;516;93,6;96,1;266,8;261;50,6;93,5;95,0;275,3;255;49,4;93,7;97,3;258,0;
Lidingö;0186;Stockholms län;01;Kommunal;400;93,8;96,0;266,1;200;50,0;93,0;95,0;274,1;200;50,0;94,5;97,0;258,0;
Lidingö;0186;Stockholms län;01;Enskild;116;93,1;~100;269,2;61;52,6;95,1;~100;279,3;55;47,4;90,9;~100;258,1;
Lidköping;1494;Västra Götalands län;14;Samtliga;457;76,1;82,9;215,2;203;44,4;83,7;91,6;240,4;254;55,6;70,1;76,0;194,4;
Lidköping;1494;Västra Götalands län;14;Kommunal;421;74,1;81,5;211,9;182;43,2;81,9;90,7;238,3;239;56,8;68,2;74,5;191,2;
Lidköping;1494;Västra Götalands län;14;Enskild;36;100,0;100,0;252,2;21;58,3;100,0;100,0;258,1;15;41,7;100,0;100,0;244,0;
Lilla Edet;1462;Västra Götalands län;14;Samtliga;115;60,9;72,2;184,6;47;40,9;70,2;85,1;211,4;68;59,1;54,4;63,2;165,6;
Lilla Edet;1462;Västra Götalands län;14;Kommunal;102;57,8;69,6;179,2;42;41,2;66,7;83,3;205,7;60;58,8;51,7;60,0;160,2;
Lilla Edet;1462;Västra Götalands län;14;Enskild;13;84,6;~100;224,8;..;..;..;..;..;..;..;..;..;..;
Lindesberg;1885;Örebro län;18;Samtliga;242;63,6;70,7;200,7;123;50,8;63,4;72,4;212,8;119;49,2;63,9;68,9;188,2;
Lindesberg;1885;Örebro län;18;Kommunal;242;63,6;70,7;200,7;123;50,8;63,4;72,4;212,8;119;49,2;63,9;68,9;188,2;
Linköping;0580;Östergötlands län;05;Samtliga;1 669;75,6;82,9;225,2;794;47,6;81,4;87,4;242,9;875;52,4;70,4;78,7;209,1;
Linköping;0580;Östergötlands län;05;Kommunal;1 206;71,8;78,8;218,1;570;47,3;77,2;84,4;237,1;636;52,7;67,0;73,7;201,1;
Linköping;0580;Östergötlands län;05;Enskild;463;85,5;93,5;243,6;224;48,4;92,0;95,1;257,3;239;51,6;79,5;92,1;230,6;
Ljungby;0781;Kronobergs län;07;Samtliga;315;69,5;78,4;212,2;150;47,6;82,7;87,3;243,8;165;52,4;57,6;70,3;183,1;
Ljungby;0781;Kronobergs län;07;Kommunal;307;69,4;78,2;212,1;146;47,6;82,2;87,0;243,7;161;52,4;57,8;70,2;183,1;
Ljungby;0781;Kronobergs län;07;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Ljusdal;2161;Gävleborgs län;21;Samtliga;199;73,4;80,9;226,6;87;43,7;81,6;88,5;245,8;112;56,3;67,0;75,0;211,4;
Ljusdal;2161;Gävleborgs län;21;Kommunal;166;71,1;80,1;224,7;67;40,4;77,6;86,6;245,3;99;59,6;66,7;75,8;210,5;
Ljusdal;2161;Gävleborgs län;21;Enskild;33;84,8;84,8;235,8;20;60,6;95,0;~100;247,4;13;39,4;..;..;217,9;
Ljusnarsberg;1864;Örebro län;18;Samtliga;50;54,0;72,0;189,9;23;46,0;52,2;78,3;195,5;27;54,0;55,6;66,7;185,1;
Ljusnarsberg;1864;Örebro län;18;Kommunal;50;54,0;72,0;189,9;23;46,0;52,2;78,3;195,5;27;54,0;55,6;66,7;185,1;
Lomma;1262;Skåne län;12;Samtliga;301;90,0;93,4;253,6;139;46,2;92,8;96,4;268,9;162;53,8;87,7;90,7;240,5;
Lomma;1262;Skåne län;12;Kommunal;283;90,1;93,3;253,2;127;44,9;93,7;~100;271,5;156;55,1;87,2;90,4;238,3;
Lomma;1262;Skåne län;12;Enskild;18;88,9;~100;260,4;..;..;83,3;~100;242,1;..;..;..;..;..;
Ludvika;2085;Dalarnas län;20;Samtliga;279;66,7;76,3;192,6;128;45,9;78,1;85,9;224,9;151;54,1;57,0;68,2;164,6;
Ludvika;2085;Dalarnas län;20;Kommunal;279;66,7;76,3;192,6;128;45,9;78,1;85,9;224,9;151;54,1;57,0;68,2;164,6;
Luleå;2580;Norrbottens län;25;Samtliga;769;82,3;88,0;232,0;388;50,5;85,3;90,2;248,0;381;49,5;79,3;85,8;215,7;
Luleå;2580;Norrbottens län;25;Kommunal;666;81,1;87,1;230,0;337;50,6;84,0;89,0;246,1;329;49,4;78,1;85,1;213,6;
Luleå;2580;Norrbottens län;25;Enskild;103;90,3;94,2;244,3;51;49,5;94,1;~100;260,1;52;50,5;86,5;90,4;228,9;
Lund;1281;Skåne län;12;Samtliga;1 263;87,6;92,7;253,4;609;48,2;89,8;94,5;268,1;654;51,8;85,5;90,9;239,7;
Lund;1281;Skåne län;12;Kommunal;1 010;87,3;92,4;251,7;464;45,9;91,2;95,4;268,9;546;54,1;84,0;89,8;236,9;
Lund;1281;Skåne län;12;Enskild;253;88,5;93,7;260,2;145;57,3;85,5;91,7;265,6;108;42,7;92,6;~100;253,0;
Lycksele;2481;Västerbottens län;24;Samtliga;134;72,4;90,3;204,9;65;48,5;73,8;89,2;218,6;69;51,5;71,0;91,3;192,3;
Lycksele;2481;Västerbottens län;24;Kommunal;134;72,4;90,3;204,9;65;48,5;73,8;89,2;218,6;69;51,5;71,0;91,3;192,3;
Lysekil;1484;Västra Götalands län;14;Samtliga;166;68,1;80,1;214,0;90;54,2;77,8;86,7;243,4;76;45,8;56,6;72,4;179,0;
Lysekil;1484;Västra Götalands län;14;Kommunal;166;68,1;80,1;214,0;90;54,2;77,8;86,7;243,4;76;45,8;56,6;72,4;179,0;
Malmö;1280;Skåne län;12;Samtliga;2 845;65,7;76,3;221,4;1 384;48,6;68,4;79,5;233,8;1 461;51,4;63,1;73,2;209,3;
Malmö;1280;Skåne län;12;Kommunal;2 321;61,8;73,1;214,8;1 118;48,2;64,8;76,8;228,1;1 203;51,8;59,0;69,6;202,2;
Malmö;1280;Skåne län;12;Enskild;524;84,4;92,0;253,5;266;50,8;84,3;91,6;259,4;258;49,2;84,5;92,5;246,9;
Malung-Sälen;2023;Dalarnas län;20;Samtliga;97;88,7;91,8;232,9;41;42,3;90,2;~100;242,9;56;57,7;87,5;89,3;225,7;
Malung-Sälen;2023;Dalarnas län;20;Kommunal;97;88,7;91,8;232,9;41;42,3;90,2;~100;242,9;56;57,7;87,5;89,3;225,7;
