Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2017/18

;;;;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Arvika;1784;Värmlands län;17;Enskild;51;90,2;~100;250,8;36;70,6;88,9;~100;260,9;15;29,4;93,3;~100;226,7;
Askersund;1882;Örebro län;18;Samtliga;97;77,3;89,7;224,3;49;50,5;77,6;89,8;233,9;48;49,5;77,1;89,6;214,6;
Askersund;1882;Örebro län;18;Kommunal;97;77,3;89,7;224,3;49;50,5;77,6;89,8;233,9;48;49,5;77,1;89,6;214,6;
Avesta;2084;Dalarnas län;20;Samtliga;227;54,6;65,6;200,9;94;41,4;59,6;64,9;213,2;133;58,6;51,1;66,2;192,5;
Avesta;2084;Dalarnas län;20;Kommunal;227;54,6;65,6;200,9;94;41,4;59,6;64,9;213,2;133;58,6;51,1;66,2;192,5;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;87;66,7;75,9;224,2;53;60,9;75,5;86,8;248,1;34;39,1;52,9;58,8;185,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;87;66,7;75,9;224,2;53;60,9;75,5;86,8;248,1;34;39,1;52,9;58,8;185,2;
Berg;2326;Jämtlands län;23;Samtliga;81;76,5;79,0;223,7;38;46,9;81,6;86,8;247,6;43;53,1;72,1;72,1;202,6;
Berg;2326;Jämtlands län;23;Kommunal;81;76,5;79,0;223,7;38;46,9;81,6;86,8;247,6;43;53,1;72,1;72,1;202,6;
Bjurholm;2403;Västerbottens län;24;Samtliga;28;71,4;71,4;207,9;15;53,6;..;..;208,8;13;46,4;84,6;~100;206,9;
Bjurholm;2403;Västerbottens län;24;Kommunal;28;71,4;71,4;207,9;15;53,6;..;..;208,8;13;46,4;84,6;~100;206,9;
Bjuv;1260;Skåne län;12;Samtliga;179;67,6;79,9;210,7;85;47,5;71,8;80,0;226,8;94;52,5;63,8;79,8;196,0;
Bjuv;1260;Skåne län;12;Kommunal;179;67,6;79,9;210,7;85;47,5;71,8;80,0;226,8;94;52,5;63,8;79,8;196,0;
Boden;2582;Norrbottens län;25;Samtliga;324;73,5;82,4;223,1;166;51,2;84,9;91,0;249,1;158;48,8;61,4;73,4;195,3;
Boden;2582;Norrbottens län;25;Kommunal;243;71,6;80,2;217,6;131;53,9;85,5;90,8;247,4;112;46,1;55,4;67,9;182,4;
Boden;2582;Norrbottens län;25;Enskild;81;79,0;88,9;240,0;35;43,2;82,9;~100;255,6;46;56,8;76,1;87,0;227,5;
Bollebygd;1443;Västra Götalands län;14;Samtliga;104;86,5;93,3;247,7;49;47,1;93,9;~100;262,2;55;52,9;80,0;90,9;234,8;
Bollebygd;1443;Västra Götalands län;14;Kommunal;104;86,5;93,3;247,7;49;47,1;93,9;~100;262,2;55;52,9;80,0;90,9;234,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;316;68,7;79,1;205,0;149;47,2;71,8;80,5;221,3;167;52,8;65,9;77,8;190,4;
Bollnäs;2183;Gävleborgs län;21;Kommunal;183;49,7;67,2;183,5;92;50,3;60,9;73,9;204,9;91;49,7;38,5;60,4;161,5;
Bollnäs;2183;Gävleborgs län;21;Enskild;133;94,7;95,5;234,1;57;42,9;89,5;91,2;247,3;76;57,1;98,7;~100;224,1;
Borgholm;0885;Kalmar län;08;Samtliga;88;72,7;86,4;226,6;34;38,6;76,5;~100;245,3;54;61,4;70,4;85,2;214,9;
Borgholm;0885;Kalmar län;08;Kommunal;88;72,7;86,4;226,6;34;38,6;76,5;~100;245,3;54;61,4;70,4;85,2;214,9;
Borlänge;2081;Dalarnas län;20;Samtliga;669;61,7;77,3;206,5;337;50,4;65,0;77,7;216,8;332;49,6;58,4;76,8;195,9;
Borlänge;2081;Dalarnas län;20;Kommunal;582;58,8;75,4;201,9;290;49,8;62,1;76,2;213,3;292;50,2;55,5;74,7;190,4;
Borlänge;2081;Dalarnas län;20;Enskild;87;81,6;89,7;236,9;47;54,0;83,0;87,2;238,1;40;46,0;80,0;~100;235,4;
Borås;1490;Västra Götalands län;14;Samtliga;1 255;73,1;82,9;228,9;601;47,9;78,2;85,7;243,7;654;52,1;68,5;80,4;215,1;
Borås;1490;Västra Götalands län;14;Kommunal;1 026;69,7;80,0;221,9;480;46,8;74,6;82,5;235,8;546;53,2;65,4;77,8;209,4;
Borås;1490;Västra Götalands län;14;Enskild;229;88,6;96,1;259,7;121;52,8;92,6;~100;274,5;108;47,2;84,3;93,5;243,2;
Botkyrka;0127;Stockholms län;01;Samtliga;942;68,0;83,0;217,5;449;47,7;70,8;85,7;229,2;493;52,3;65,5;80,5;206,7;
Botkyrka;0127;Stockholms län;01;Kommunal;811;66,7;81,8;214,4;377;46,5;68,2;84,1;224,0;434;53,5;65,4;79,7;206,1;
Botkyrka;0127;Stockholms län;01;Enskild;131;76,3;90,8;236,4;72;55,0;84,7;~100;257,6;59;45,0;66,1;86,4;211,4;
Boxholm;0560;Östergötlands län;05;Samtliga;48;64,6;77,1;210,4;25;52,1;64,0;76,0;223,9;23;47,9;65,2;78,3;195,1;
Boxholm;0560;Östergötlands län;05;Kommunal;48;64,6;77,1;210,4;25;52,1;64,0;76,0;223,9;23;47,9;65,2;78,3;195,1;
Bromölla;1272;Skåne län;12;Samtliga;145;71,7;80,0;214,2;71;49,0;77,5;84,5;235,3;74;51,0;66,2;75,7;193,9;
Bromölla;1272;Skåne län;12;Kommunal;145;71,7;80,0;214,2;71;49,0;77,5;84,5;235,3;74;51,0;66,2;75,7;193,9;
Bräcke;2305;Jämtlands län;23;Samtliga;76;64,5;75,0;196,3;30;39,5;76,7;83,3;222,8;46;60,5;56,5;69,6;179,1;
Bräcke;2305;Jämtlands län;23;Kommunal;76;64,5;75,0;196,3;30;39,5;76,7;83,3;222,8;46;60,5;56,5;69,6;179,1;
Burlöv;1231;Skåne län;12;Samtliga;174;65,5;75,3;214,7;78;44,8;71,8;82,1;235,7;96;55,2;60,4;69,8;197,6;
Burlöv;1231;Skåne län;12;Kommunal;174;65,5;75,3;214,7;78;44,8;71,8;82,1;235,7;96;55,2;60,4;69,8;197,6;
Båstad;1278;Skåne län;12;Samtliga;139;84,2;90,6;237,3;59;42,4;84,7;91,5;262,3;80;57,6;83,8;90,0;218,6;
Båstad;1278;Skåne län;12;Kommunal;139;84,2;90,6;237,3;59;42,4;84,7;91,5;262,3;80;57,6;83,8;90,0;218,6;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;54;75,9;81,5;221,3;29;53,7;79,3;79,3;239,1;25;46,3;72,0;~100;200,7;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;54;75,9;81,5;221,3;29;53,7;79,3;79,3;239,1;25;46,3;72,0;~100;200,7;
Danderyd;0162;Stockholms län;01;Samtliga;526;92,8;96,1;272,9;237;45,1;92,4;96,2;277,6;289;54,9;93,2;96,1;268,9;
Danderyd;0162;Stockholms län;01;Kommunal;339;92,3;95,6;268,6;149;44,0;91,3;96,0;275,7;190;56,0;93,2;95,3;262,9;
Danderyd;0162;Stockholms län;01;Enskild;187;93,8;97,2;281,3;88;47,1;94,3;~100;281,0;99;52,9;93,3;~100;281,6;
Degerfors;1862;Örebro län;18;Samtliga;100;70,0;85,0;206,1;57;57,0;71,9;84,2;216,0;43;43,0;67,4;86,0;193,0;
Degerfors;1862;Örebro län;18;Kommunal;100;70,0;85,0;206,1;57;57,0;71,9;84,2;216,0;43;43,0;67,4;86,0;193,0;
Dorotea;2425;Västerbottens län;24;Samtliga;27;70,4;77,8;203,1;13;48,1;76,9;~100;225,6;14;51,9;..;~100;182,3;
Dorotea;2425;Västerbottens län;24;Kommunal;27;70,4;77,8;203,1;13;48,1;76,9;~100;225,6;14;51,9;..;~100;182,3;
Eda;1730;Värmlands län;17;Samtliga;82;64,6;79,3;209,9;36;43,9;69,4;86,1;235,6;46;56,1;60,9;73,9;189,9;
Eda;1730;Värmlands län;17;Kommunal;82;64,6;79,3;209,9;36;43,9;69,4;86,1;235,6;46;56,1;60,9;73,9;189,9;
Ekerö;0125;Stockholms län;01;Samtliga;393;83,5;90,1;250,5;189;48,1;88,9;92,6;269,5;204;51,9;78,4;87,7;233,1;
Ekerö;0125;Stockholms län;01;Kommunal;348;81,9;89,1;245,9;168;48,3;87,5;91,7;264,3;180;51,7;76,7;86,7;228,9;
Ekerö;0125;Stockholms län;01;Enskild;45;95,6;~100;286,1;21;46,7;100,0;100,0;311,2;24;53,3;91,7;~100;264,2;
Eksjö;0686;Jönköpings län;06;Samtliga;217;71,9;77,9;224,2;98;45,2;76,5;79,6;230,7;119;54,8;68,1;76,5;218,7;
Eksjö;0686;Jönköpings län;06;Kommunal;206;75,2;80,6;228,2;94;45,6;79,8;83,0;235,6;112;54,4;71,4;78,6;222,0;
Eksjö;0686;Jönköpings län;06;Enskild;11;..;..;..;..;..;.;.;..;..;..;..;..;..;
Emmaboda;0862;Kalmar län;08;Samtliga;111;57,7;72,1;189,6;49;44,1;65,3;77,6;206,1;62;55,9;51,6;67,7;176,8;
Emmaboda;0862;Kalmar län;08;Kommunal;111;57,7;72,1;189,6;49;44,1;65,3;77,6;206,1;62;55,9;51,6;67,7;176,8;
Enköping;0381;Uppsala län;03;Samtliga;497;73,4;85,7;217,7;237;47,7;77,2;89,9;233,6;260;52,3;70,0;81,9;202,9;
Enköping;0381;Uppsala län;03;Kommunal;335;68,4;83,0;209,1;147;43,9;71,4;87,8;223,2;188;56,1;66,0;79,3;197,7;
Enköping;0381;Uppsala län;03;Enskild;162;84,0;91,4;235,2;90;55,6;86,7;93,3;250,4;72;44,4;80,6;88,9;216,0;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 261;72,5;82,1;223,9;562;44,6;76,7;85,9;240,2;699;55,4;69,1;79,0;210,6;
Eskilstuna;0484;Södermanlands län;04;Kommunal;990;69,3;78,8;215,6;430;43,4;74,2;82,6;232,6;560;56,6;65,5;75,9;202,2;
Eskilstuna;0484;Södermanlands län;04;Enskild;271;84,1;94,1;254,3;132;48,7;84,8;~100;265,3;139;51,3;83,5;91,4;243,9;
Eslöv;1285;Skåne län;12;Samtliga;386;71,2;80,3;220,9;189;49,0;78,8;86,2;245,3;197;51,0;64,0;74,6;197,6;
Eslöv;1285;Skåne län;12;Kommunal;386;71,2;80,3;220,9;189;49,0;78,8;86,2;245,3;197;51,0;64,0;74,6;197,6;
Essunga;1445;Västra Götalands län;14;Samtliga;64;82,8;84,4;230,8;36;56,3;91,7;~100;254,0;28;43,8;71,4;71,4;198,6;
Essunga;1445;Västra Götalands län;14;Kommunal;64;82,8;84,4;230,8;36;56,3;91,7;~100;254,0;28;43,8;71,4;71,4;198,6;
Fagersta;1982;Västmanlands län;19;Samtliga;171;57,9;75,4;207,6;84;49,1;64,3;75,0;221,2;87;50,9;51,7;75,9;194,8;
Fagersta;1982;Västmanlands län;19;Kommunal;151;57,0;76,2;204,4;72;47,7;65,3;76,4;220,5;79;52,3;49,4;75,9;190,3;
Fagersta;1982;Västmanlands län;19;Enskild;20;65,0;70,0;232,2;..;..;..;..;225,2;..;..;..;..;..;
Falkenberg;1382;Hallands län;13;Samtliga;494;68,4;81,8;214,7;226;45,7;74,8;85,4;234,4;268;54,3;63,1;78,7;198,1;
Falkenberg;1382;Hallands län;13;Kommunal;432;65,3;79,9;210,1;197;45,6;72,6;83,8;229,1;235;54,4;59,1;76,6;194,3;
Falkenberg;1382;Hallands län;13;Enskild;62;90,3;~100;246,5;29;46,8;89,7;~100;270,5;33;53,2;90,9;~100;225,5;
Falköping;1499;Västra Götalands län;14;Samtliga;390;69,0;78,2;209,6;203;52,1;70,4;80,8;222,0;187;47,9;67,4;75,4;196,2;
Falköping;1499;Västra Götalands län;14;Kommunal;367;70,6;79,3;212,5;193;52,6;71,0;80,8;223,2;174;47,4;70,1;77,6;200,7;
Falköping;1499;Västra Götalands län;14;Enskild;23;43,5;60,9;164,3;10;43,5;..;..;200,5;13;56,5;..;..;136,5;
Falun;2080;Dalarnas län;20;Samtliga;623;81,9;86,5;231,2;313;50,2;85,6;88,8;247,5;310;49,8;78,1;84,2;214,7;
Falun;2080;Dalarnas län;20;Kommunal;453;79,5;84,3;223,2;212;46,8;84,0;87,3;240,8;241;53,2;75,5;81,7;207,6;
Falun;2080;Dalarnas län;20;Enskild;170;88,2;92,4;252,5;101;59,4;89,1;92,1;261,7;69;40,6;87,0;92,8;239,1;
Filipstad;1782;Värmlands län;17;Samtliga;109;78,0;86,2;218,9;52;47,7;82,7;88,5;237,6;57;52,3;73,7;84,2;202,9;
Filipstad;1782;Värmlands län;17;Kommunal;109;78,0;86,2;218,9;52;47,7;82,7;88,5;237,6;57;52,3;73,7;84,2;202,9;
Finspång;0562;Östergötlands län;05;Samtliga;222;73,4;81,5;219,1;113;50,9;80,5;85,8;235,5;109;49,1;66,1;77,1;202,2;
Finspång;0562;Östergötlands län;05;Kommunal;222;73,4;81,5;219,1;113;50,9;80,5;85,8;235,5;109;49,1;66,1;77,1;202,2;
Flen;0482;Södermanlands län;04;Samtliga;164;62,2;79,9;212,6;77;47,0;68,8;80,5;234,1;87;53,0;56,3;79,3;194,4;
Flen;0482;Södermanlands län;04;Kommunal;111;59,5;82,0;205,8;55;49,5;65,5;78,2;224,8;56;50,5;53,6;85,7;188,9;
Flen;0482;Södermanlands län;04;Enskild;53;67,9;75,5;226,9;22;41,5;77,3;~100;255,8;31;58,5;61,3;67,7;205,2;
Forshaga;1763;Värmlands län;17;Samtliga;144;78,5;88,2;222,2;78;54,2;79,5;88,5;234,6;66;45,8;77,3;87,9;207,6;
Forshaga;1763;Värmlands län;17;Kommunal;144;78,5;88,2;222,2;78;54,2;79,5;88,5;234,6;66;45,8;77,3;87,9;207,6;
Färgelanda;1439;Västra Götalands län;14;Samtliga;66;69,7;72,7;211,8;32;48,5;75,0;78,1;230,9;34;51,5;64,7;67,6;192,7;
Färgelanda;1439;Västra Götalands län;14;Kommunal;66;69,7;72,7;211,8;32;48,5;75,0;78,1;230,9;34;51,5;64,7;67,6;192,7;
Gagnef;2026;Dalarnas län;20;Samtliga;94;73,4;86,2;221,8;48;51,1;70,8;87,5;232,8;46;48,9;76,1;84,8;210,3;
Gagnef;2026;Dalarnas län;20;Kommunal;94;73,4;86,2;221,8;48;51,1;70,8;87,5;232,8;46;48,9;76,1;84,8;210,3;
Gislaved;0662;Jönköpings län;06;Samtliga;371;66,6;78,2;206,7;183;49,3;72,7;79,2;220,6;188;50,7;60,6;77,1;193,2;
Gislaved;0662;Jönköpings län;06;Kommunal;361;65,9;77,6;205,7;179;49,6;72,1;78,8;219,5;182;50,4;59,9;76,4;192,1;
Gislaved;0662;Jönköpings län;06;Enskild;10;..;100,0;243,3;..;..;..;..;..;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;130;69,2;80,0;213,5;66;50,8;77,3;83,3;227,5;64;49,2;60,9;76,6;198,1;
Gnesta;0461;Södermanlands län;04;Kommunal;116;69,0;80,2;208,7;59;50,9;78,0;83,1;224,4;57;49,1;59,6;77,2;191,1;
Gnesta;0461;Södermanlands län;04;Enskild;14;71,4;~100;250,5;..;..;..;..;..;..;..;..;..;..;
Gnosjö;0617;Jönköpings län;06;Samtliga;126;67,5;75,4;207,9;67;53,2;70,1;76,1;215,5;59;46,8;64,4;74,6;199,0;
Gnosjö;0617;Jönköpings län;06;Kommunal;126;67,5;75,4;207,9;67;53,2;70,1;76,1;215,5;59;46,8;64,4;74,6;199,0;
Gotland;0980;Gotlands län;09;Samtliga;642;77,3;83,0;228,1;293;45,6;84,0;88,1;244,9;349;54,4;71,6;78,8;214,0;
Gotland;0980;Gotlands län;09;Kommunal;562;76,0;81,9;226,5;257;45,7;83,3;87,5;244,1;305;54,3;69,8;77,0;211,5;
Gotland;0980;Gotlands län;09;Enskild;80;86,3;91,3;240,2;36;45,0;88,9;~100;250,9;44;55,0;84,1;~100;231,7;
Grums;1764;Värmlands län;17;Samtliga;77;68,8;75,3;209,7;32;41,6;68,8;78,1;218,5;45;58,4;68,9;73,3;203,4;
Grums;1764;Värmlands län;17;Kommunal;77;68,8;75,3;209,7;32;41,6;68,8;78,1;218,5;45;58,4;68,9;73,3;203,4;
Grästorp;1444;Västra Götalands län;14;Samtliga;56;80,4;89,3;229,5;18;32,1;88,9;~100;245,0;38;67,9;76,3;86,8;222,0;
Grästorp;1444;Västra Götalands län;14;Kommunal;56;80,4;89,3;229,5;18;32,1;88,9;~100;245,0;38;67,9;76,3;86,8;222,0;
Gullspång;1447;Västra Götalands län;14;Samtliga;72;58,3;62,5;180,0;31;43,1;67,7;71,0;191,9;41;56,9;51,2;56,1;170,4;
Gullspång;1447;Västra Götalands län;14;Kommunal;72;58,3;62,5;180,0;31;43,1;67,7;71,0;191,9;41;56,9;51,2;56,1;170,4;
Gällivare;2523;Norrbottens län;25;Samtliga;153;76,5;82,4;229,3;73;47,7;82,2;89,0;253,4;80;52,3;71,3;76,3;207,3;
Gällivare;2523;Norrbottens län;25;Kommunal;133;73,7;79,7;221,8;60;45,1;78,3;86,7;243,9;73;54,9;69,9;74,0;203,6;
Gällivare;2523;Norrbottens län;25;Enskild;20;95,0;100,0;279,4;..;..;100,0;100,0;297,3;..;..;..;..;..;
Gävle;2180;Gävleborgs län;21;Samtliga;1 162;70,0;83,6;219,3;543;46,7;72,6;85,3;237,1;619;53,3;67,7;82,2;203,8;
Gävle;2180;Gävleborgs län;21;Kommunal;796;67,7;80,3;210,4;374;47,0;71,9;82,4;229,8;422;53,0;64,0;78,4;193,4;
Gävle;2180;Gävleborgs län;21;Enskild;366;74,9;91,0;238,2;169;46,2;74,0;91,7;253,0;197;53,8;75,6;90,4;225,7;
Göteborg;1480;Västra Götalands län;14;Samtliga;5 356;72,6;81,1;227,6;2 661;49,7;75,0;83,4;239,8;2 695;50,3;70,3;78,8;215,4;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 451;66,6;75,4;215,7;1 718;49,8;70,0;78,9;230,1;1 733;50,2;63,3;71,8;201,4;
Göteborg;1480;Västra Götalands län;14;Enskild;1 905;83,9;91,8;249,3;943;49,5;84,5;91,8;257,5;962;50,5;83,3;91,8;241,2;
Götene;1471;Västra Götalands län;14;Samtliga;145;84,8;88,3;220,7;70;48,3;85,7;90,0;233,4;75;51,7;84,0;86,7;208,9;
Götene;1471;Västra Götalands län;14;Kommunal;145;84,8;88,3;220,7;70;48,3;85,7;90,0;233,4;75;51,7;84,0;86,7;208,9;
Habo;0643;Jönköpings län;06;Samtliga;135;68,1;80,7;214,2;57;42,2;80,7;87,7;246,4;78;57,8;59,0;75,6;190,4;
Habo;0643;Jönköpings län;06;Kommunal;135;68,1;80,7;214,2;57;42,2;80,7;87,7;246,4;78;57,8;59,0;75,6;190,4;
Hagfors;1783;Värmlands län;17;Samtliga;114;85,1;88,6;231,3;54;47,4;85,2;90,7;237,5;60;52,6;85,0;86,7;225,4;
Hagfors;1783;Värmlands län;17;Kommunal;114;85,1;88,6;231,3;54;47,4;85,2;90,7;237,5;60;52,6;85,0;86,7;225,4;
Hallsberg;1861;Örebro län;18;Samtliga;168;66,1;81,5;203,6;77;45,8;63,6;77,9;210,6;91;54,2;68,1;84,6;197,7;
Hallsberg;1861;Örebro län;18;Kommunal;168;66,1;81,5;203,6;77;45,8;63,6;77,9;210,6;91;54,2;68,1;84,6;197,7;
Hallstahammar;1961;Västmanlands län;19;Samtliga;163;63,2;79,8;208,5;75;46,0;76,0;86,7;234,9;88;54,0;52,3;73,9;186,1;
Hallstahammar;1961;Västmanlands län;19;Kommunal;163;63,2;79,8;208,5;75;46,0;76,0;86,7;234,9;88;54,0;52,3;73,9;186,1;
Halmstad;1380;Hallands län;13;Samtliga;1 050;75,2;83,5;230,8;497;47,3;80,1;86,5;249,5;553;52,7;70,9;80,8;213,9;
Halmstad;1380;Hallands län;13;Kommunal;904;73,5;82,2;225,4;411;45,5;78,3;85,2;243,6;493;54,5;69,4;79,7;210,1;
Halmstad;1380;Hallands län;13;Enskild;146;86,3;91,8;264,3;86;58,9;88,4;93,0;277,9;60;41,1;83,3;90,0;245,0;
Hammarö;1761;Värmlands län;17;Samtliga;177;91,5;93,2;248,7;94;53,1;96,8;~100;269,1;83;46,9;85,5;88,0;225,6;
Hammarö;1761;Värmlands län;17;Kommunal;177;91,5;93,2;248,7;94;53,1;96,8;~100;269,1;83;46,9;85,5;88,0;225,6;
Haninge;0136;Stockholms län;01;Samtliga;897;70,1;83,6;217,4;432;48,2;72,0;86,3;231,8;465;51,8;68,4;81,1;204,1;
Haninge;0136;Stockholms län;01;Kommunal;742;69,5;83,0;214,1;347;46,8;70,9;85,3;228,7;395;53,2;68,4;81,0;201,4;
Haninge;0136;Stockholms län;01;Enskild;155;72,9;86,5;233,3;85;54,8;76,5;90,6;244,0;70;45,2;68,6;81,4;220,0;
Haparanda;2583;Norrbottens län;25;Samtliga;110;69,1;80,9;207,1;57;51,8;78,9;84,2;233,6;53;48,2;58,5;77,4;177,9;
Haparanda;2583;Norrbottens län;25;Kommunal;110;69,1;80,9;207,1;57;51,8;78,9;84,2;233,6;53;48,2;58,5;77,4;177,9;
Heby;0331;Uppsala län;03;Samtliga;141;63,1;83,7;209,4;67;47,5;76,1;91,0;233,2;74;52,5;51,4;77,0;187,6;
Heby;0331;Uppsala län;03;Kommunal;141;63,1;83,7;209,4;67;47,5;76,1;91,0;233,2;74;52,5;51,4;77,0;187,6;
Hedemora;2083;Dalarnas län;20;Samtliga;193;68,4;81,9;206,5;95;49,2;72,6;84,2;218,9;98;50,8;64,3;79,6;194,4;
Hedemora;2083;Dalarnas län;20;Kommunal;141;66,7;78,0;200,5;70;49,6;68,6;80,0;211,5;71;50,4;64,8;76,1;189,5;
Hedemora;2083;Dalarnas län;20;Enskild;52;73,1;~100;222,5;25;48,1;84,0;~100;239,3;27;51,9;63,0;~100;206,9;
Helsingborg;1283;Skåne län;12;Samtliga;1 562;76,3;84,1;233,7;770;49,3;81,3;88,0;251,4;792;50,7;71,5;80,3;216,3;
Helsingborg;1283;Skåne län;12;Kommunal;1 079;72,2;81,6;227,8;527;48,8;78,5;86,6;248,2;552;51,2;66,1;76,8;208,1;
Helsingborg;1283;Skåne län;12;Enskild;483;85,3;89,4;246,3;243;50,3;87,2;90,9;258,2;240;49,7;83,3;87,9;234,2;
Herrljunga;1466;Västra Götalands län;14;Samtliga;120;73,3;78,3;221,0;57;47,5;80,7;80,7;233,8;63;52,5;66,7;76,2;208,4;
Herrljunga;1466;Västra Götalands län;14;Kommunal;120;73,3;78,3;221,0;57;47,5;80,7;80,7;233,8;63;52,5;66,7;76,2;208,4;
Hjo;1497;Västra Götalands län;14;Samtliga;104;73,1;81,7;220,3;48;46,2;70,8;79,2;225,6;56;53,8;75,0;83,9;215,8;
Hjo;1497;Västra Götalands län;14;Kommunal;104;73,1;81,7;220,3;48;46,2;70,8;79,2;225,6;56;53,8;75,0;83,9;215,8;
Hofors;2104;Gävleborgs län;21;Samtliga;68;79,4;83,8;214,5;32;47,1;84,4;~100;247,0;36;52,9;75,0;80,6;184,8;
Hofors;2104;Gävleborgs län;21;Kommunal;68;79,4;83,8;214,5;32;47,1;84,4;~100;247,0;36;52,9;75,0;80,6;184,8;
Huddinge;0126;Stockholms län;01;Samtliga;1 261;82,7;90,0;241,6;601;47,7;85,4;91,3;252,5;660;52,3;80,3;88,8;231,6;
Huddinge;0126;Stockholms län;01;Kommunal;1 012;80,8;87,8;233,7;480;47,4;84,0;89,8;246,3;532;52,6;78,0;86,1;222,3;
Huddinge;0126;Stockholms län;01;Enskild;249;90,4;~100;273,2;121;48,6;90,9;~100;277,0;128;51,4;89,8;100,0;269,7;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;477;76,9;82,6;222,6;243;50,9;81,1;84,4;238,4;234;49,1;72,6;80,8;206,1;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;390;76,4;82,1;223,0;206;52,8;80,6;84,5;238,0;184;47,2;71,7;79,3;206,2;
