Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, samtliga elever
Valt läsår: 2015/16

;;;;;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Inklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;Exklusive okänd bakgrund;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) som uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Bräcke;2305;Jämtlands län;23;Kommunal;92;62,0;65,2;191,3;77,0;81,1;213,3;
Burlöv;1231;Skåne län;12;Samtliga;137;67,9;78,1;201,4;76,2;87,7;223,1;
Burlöv;1231;Skåne län;12;Kommunal;137;67,9;78,1;201,4;76,2;87,7;223,1;
Båstad;1278;Skåne län;12;Samtliga;162;67,3;80,2;228,0;74,1;88,4;230,0;
Båstad;1278;Skåne län;12;Kommunal;162;67,3;80,2;228,0;74,1;88,4;230,0;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;49;81,6;~100;236,4;81,6;~100;236,4;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;49;81,6;~100;236,4;81,6;~100;236,4;
Danderyd;0162;Stockholms län;01;Samtliga;502;95,8;98,8;267,1;96,4;~100;268,3;
Danderyd;0162;Stockholms län;01;Kommunal;322;95,0;98,1;263,3;95,9;~100;265,0;
Danderyd;0162;Stockholms län;01;Enskild;180;97,2;100,0;274,1;97,2;100,0;274,1;
Degerfors;1862;Örebro län;18;Samtliga;85;71,8;82,4;213,8;73,5;84,3;218,6;
Degerfors;1862;Örebro län;18;Kommunal;85;71,8;82,4;213,8;73,5;84,3;218,6;
Dorotea;2425;Västerbottens län;24;Samtliga;27;77,8;81,5;204,2;77,8;81,5;204,2;
Dorotea;2425;Västerbottens län;24;Kommunal;27;77,8;81,5;204,2;77,8;81,5;204,2;
Eda;1730;Värmlands län;17;Samtliga;76;78,9;89,5;227,2;78,9;89,5;227,2;
Eda;1730;Värmlands län;17;Kommunal;76;78,9;89,5;227,2;78,9;89,5;227,2;
Ekerö;0125;Stockholms län;01;Samtliga;289;88,2;95,2;252,5;88,2;95,2;252,5;
Ekerö;0125;Stockholms län;01;Kommunal;259;86,9;94,6;250,0;86,9;94,6;250,0;
Ekerö;0125;Stockholms län;01;Enskild;30;100,0;100,0;274,3;100,0;100,0;274,3;
Eksjö;0686;Jönköpings län;06;Samtliga;227;55,9;64,8;197,4;69,4;80,3;213,7;
Eksjö;0686;Jönköpings län;06;Kommunal;222;57,2;66,2;201,6;71,3;82,6;218,7;
Eksjö;0686;Jönköpings län;06;Enskild;..;.;.;..;.;.;..;
Emmaboda;0862;Kalmar län;08;Samtliga;97;60,8;72,2;192,0;65,6;77,8;204,4;
Emmaboda;0862;Kalmar län;08;Kommunal;97;60,8;72,2;192,0;65,6;77,8;204,4;
Enköping;0381;Uppsala län;03;Samtliga;474;77,2;88,6;222,4;77,9;89,4;223,7;
Enköping;0381;Uppsala län;03;Kommunal;358;73,7;87,2;214,8;74,6;88,1;216,5;
Enköping;0381;Uppsala län;03;Enskild;116;87,9;93,1;245,9;87,9;93,1;245,9;
Eskilstuna;0484;Södermanlands län;04;Samtliga;1 277;68,7;77,0;211,8;73,6;82,5;221,1;
Eskilstuna;0484;Södermanlands län;04;Kommunal;1 017;63,9;71,9;199,8;69,8;78,4;210,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;260;87,3;96,9;256,9;87,3;96,9;256,9;
Eslöv;1285;Skåne län;12;Samtliga;405;68,4;76,8;218,9;78,7;88,1;228,4;
Eslöv;1285;Skåne län;12;Kommunal;405;68,4;76,8;218,9;78,7;88,1;228,4;
Essunga;1445;Västra Götalands län;14;Samtliga;55;80,0;85,5;225,3;80,0;85,5;225,3;
Essunga;1445;Västra Götalands län;14;Kommunal;55;80,0;85,5;225,3;80,0;85,5;225,3;
Fagersta;1982;Västmanlands län;19;Samtliga;160;58,1;67,5;193,6;65,0;75,5;195,9;
Fagersta;1982;Västmanlands län;19;Kommunal;146;59,6;69,2;196,8;67,4;78,3;199,4;
Fagersta;1982;Västmanlands län;19;Enskild;14;..;..;163,2;..;..;163,2;
Falkenberg;1382;Hallands län;13;Samtliga;535;68,4;78,7;214,4;75,5;86,6;223,0;
Falkenberg;1382;Hallands län;13;Kommunal;473;65,1;76,3;208,8;72,8;85,1;218,4;
Falkenberg;1382;Hallands län;13;Enskild;62;93,5;~100;254,3;93,5;~100;254,3;
Falköping;1499;Västra Götalands län;14;Samtliga;417;62,6;71,2;202,1;69,2;78,8;206,8;
Falköping;1499;Västra Götalands län;14;Kommunal;389;62,5;70,4;203,3;69,6;78,5;208,5;
Falköping;1499;Västra Götalands län;14;Enskild;28;64,3;82,1;186,3;64,3;82,1;186,3;
Falun;2080;Dalarnas län;20;Samtliga;638;79,8;86,2;224,1;83,0;89,7;231,9;
Falun;2080;Dalarnas län;20;Kommunal;529;79,4;84,7;221,1;83,3;88,9;230,4;
Falun;2080;Dalarnas län;20;Enskild;109;81,7;93,6;238,9;81,7;93,6;238,9;
Filipstad;1782;Värmlands län;17;Samtliga;112;77,7;86,6;212,6;82,9;92,4;220,1;
Filipstad;1782;Värmlands län;17;Kommunal;112;77,7;86,6;212,6;82,9;92,4;220,1;
Finspång;0562;Östergötlands län;05;Samtliga;252;63,5;75,8;200,4;71,1;84,4;209,0;
Finspång;0562;Östergötlands län;05;Kommunal;252;63,5;75,8;200,4;71,1;84,4;209,0;
Flen;0482;Södermanlands län;04;Samtliga;142;60,6;80,3;212,1;60,7;80,7;212,2;
Flen;0482;Södermanlands län;04;Kommunal;95;61,1;75,8;204,9;61,3;76,3;204,8;
Flen;0482;Södermanlands län;04;Enskild;47;59,6;89,4;226,7;59,6;89,4;226,7;
Forshaga;1763;Värmlands län;17;Samtliga;151;72,2;80,1;207,6;78,4;87,1;216,0;
Forshaga;1763;Värmlands län;17;Kommunal;151;72,2;80,1;207,6;78,4;87,1;216,0;
Färgelanda;1439;Västra Götalands län;14;Samtliga;90;57,8;67,8;189,9;72,9;85,7;208,1;
Färgelanda;1439;Västra Götalands län;14;Kommunal;90;57,8;67,8;189,9;72,9;85,7;208,1;
Gagnef;2026;Dalarnas län;20;Samtliga;105;88,6;95,2;234,3;88,6;95,2;234,3;
Gagnef;2026;Dalarnas län;20;Kommunal;105;88,6;95,2;234,3;88,6;95,2;234,3;
Gislaved;0662;Jönköpings län;06;Samtliga;365;63,8;76,2;210,5;66,4;79,2;212,2;
Gislaved;0662;Jönköpings län;06;Kommunal;356;63,2;75,6;208,9;65,8;78,7;210,5;
Gislaved;0662;Jönköpings län;06;Enskild;..;..;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;123;61,0;71,5;191,1;69,4;81,5;209,0;
Gnesta;0461;Södermanlands län;04;Kommunal;110;57,3;69,1;182,1;66,3;80,0;201,3;
Gnesta;0461;Södermanlands län;04;Enskild;13;92,3;~100;264,2;92,3;~100;264,2;
Gnosjö;0617;Jönköpings län;06;Samtliga;131;71,0;80,2;205,2;72,7;82,0;206,7;
Gnosjö;0617;Jönköpings län;06;Kommunal;131;71,0;80,2;205,2;72,7;82,0;206,7;
Gotland;0980;Gotlands län;09;Samtliga;636;74,1;78,6;220,6;84,0;89,1;228,7;
Gotland;0980;Gotlands län;09;Kommunal;539;71,6;76,1;216,3;83,2;88,4;225,9;
Gotland;0980;Gotlands län;09;Enskild;97;87,6;92,8;242,2;87,6;92,8;242,2;
Grums;1764;Värmlands län;17;Samtliga;82;56,1;72,0;177,1;63,9;81,9;192,9;
Grums;1764;Värmlands län;17;Kommunal;82;56,1;72,0;177,1;63,9;81,9;192,9;
Grästorp;1444;Västra Götalands län;14;Samtliga;54;92,6;~100;243,3;92,6;~100;243,3;
Grästorp;1444;Västra Götalands län;14;Kommunal;54;92,6;~100;243,3;92,6;~100;243,3;
Gullspång;1447;Västra Götalands län;14;Samtliga;59;57,6;62,7;171,0;61,5;67,3;177,7;
Gullspång;1447;Västra Götalands län;14;Kommunal;59;57,6;62,7;171,0;61,5;67,3;177,7;
Gällivare;2523;Norrbottens län;25;Samtliga;190;79,5;88,9;232,7;79,8;89,4;233,7;
Gällivare;2523;Norrbottens län;25;Kommunal;170;78,2;88,2;230,0;78,6;88,7;231,1;
Gällivare;2523;Norrbottens län;25;Enskild;20;90,0;~100;255,0;90,0;~100;255,0;
Gävle;2180;Gävleborgs län;21;Samtliga;1 082;69,9;85,1;219,4;70,1;85,4;220,0;
Gävle;2180;Gävleborgs län;21;Kommunal;672;66,8;82,6;209,5;67,0;82,8;210,0;
Gävle;2180;Gävleborgs län;21;Enskild;410;74,9;89,3;235,8;75,2;89,7;236,3;
Göteborg;1480;Västra Götalands län;14;Samtliga;4 981;71,4;82,1;225,1;73,8;84,7;228,5;
Göteborg;1480;Västra Götalands län;14;Kommunal;3 363;65,9;76,9;213,9;69,0;80,5;218,5;
Göteborg;1480;Västra Götalands län;14;Enskild;1 618;83,4;93,3;248,5;83,5;93,3;248,6;
Götene;1471;Västra Götalands län;14;Samtliga;140;76,4;82,1;203,7;79,3;85,2;210,3;
Götene;1471;Västra Götalands län;14;Kommunal;140;76,4;82,1;203,7;79,3;85,2;210,3;
Habo;0643;Jönköpings län;06;Samtliga;124;73,4;78,2;205,8;84,3;89,8;229,0;
Habo;0643;Jönköpings län;06;Kommunal;124;73,4;78,2;205,8;84,3;89,8;229,0;
Hagfors;1783;Värmlands län;17;Samtliga;119;58,8;68,1;183,4;68,6;79,4;198,9;
Hagfors;1783;Värmlands län;17;Kommunal;119;58,8;68,1;183,4;68,6;79,4;198,9;
Hallsberg;1861;Örebro län;18;Samtliga;152;69,7;80,9;217,2;72,6;83,6;220,7;
Hallsberg;1861;Örebro län;18;Kommunal;152;69,7;80,9;217,2;72,6;83,6;220,7;
Hallstahammar;1961;Västmanlands län;19;Samtliga;187;57,2;64,7;204,9;67,3;76,1;215,6;
Hallstahammar;1961;Västmanlands län;19;Kommunal;187;57,2;64,7;204,9;67,3;76,1;215,6;
Halmstad;1380;Hallands län;13;Samtliga;1 039;76,5;82,1;225,5;81,3;87,2;228,5;
Halmstad;1380;Hallands län;13;Kommunal;900;74,8;80,0;220,9;80,2;85,8;224,4;
Halmstad;1380;Hallands län;13;Enskild;139;87,8;95,7;253,2;87,8;95,7;253,2;
Hammarö;1761;Värmlands län;17;Samtliga;222;77,9;83,3;236,8;90,6;96,9;247,0;
Hammarö;1761;Värmlands län;17;Kommunal;222;77,9;83,3;236,8;90,6;96,9;247,0;
Haninge;0136;Stockholms län;01;Samtliga;728;75,8;87,8;224,8;76,4;88,3;225,8;
Haninge;0136;Stockholms län;01;Kommunal;579;75,3;86,9;223,0;75,8;87,4;224,3;
Haninge;0136;Stockholms län;01;Enskild;149;77,9;91,3;231,8;78,4;91,9;231,8;
Haparanda;2583;Norrbottens län;25;Samtliga;139;77,7;85,6;219,6;75,0;84,5;215,9;
Haparanda;2583;Norrbottens län;25;Kommunal;139;77,7;85,6;219,6;75,0;84,5;215,9;
Heby;0331;Uppsala län;03;Samtliga;125;76,0;89,6;219,6;76,0;89,6;219,6;
Heby;0331;Uppsala län;03;Kommunal;125;76,0;89,6;219,6;76,0;89,6;219,6;
Hedemora;2083;Dalarnas län;20;Samtliga;201;57,2;66,7;178,9;67,7;77,8;199,9;
Hedemora;2083;Dalarnas län;20;Kommunal;173;54,9;64,7;172,8;66,9;77,7;196,8;
Hedemora;2083;Dalarnas län;20;Enskild;28;71,4;78,6;215,7;71,4;78,6;215,7;
Helsingborg;1283;Skåne län;12;Samtliga;1 465;77,3;87,3;234,0;79,0;89,2;236,5;
Helsingborg;1283;Skåne län;12;Kommunal;1 000;75,9;85,3;231,0;78,2;87,6;233,9;
Helsingborg;1283;Skåne län;12;Enskild;465;80,2;91,6;240,3;80,9;92,4;241,9;
Herrljunga;1466;Västra Götalands län;14;Samtliga;99;70,7;74,7;192,2;80,5;85,1;214,1;
Herrljunga;1466;Västra Götalands län;14;Kommunal;99;70,7;74,7;192,2;80,5;85,1;214,1;
Hjo;1497;Västra Götalands län;14;Samtliga;86;82,6;90,7;232,9;82,6;90,7;232,9;
Hjo;1497;Västra Götalands län;14;Kommunal;86;82,6;90,7;232,9;82,6;90,7;232,9;
Hofors;2104;Gävleborgs län;21;Samtliga;91;70,3;76,9;215,1;76,2;83,3;215,1;
Hofors;2104;Gävleborgs län;21;Kommunal;91;70,3;76,9;215,1;76,2;83,3;215,1;
Huddinge;0126;Stockholms län;01;Samtliga;1 237;79,4;85,9;234,1;84,4;91,3;241,2;
Huddinge;0126;Stockholms län;01;Kommunal;1 017;78,5;84,2;227,7;84,5;90,7;236,1;
Huddinge;0126;Stockholms län;01;Enskild;220;83,6;94,1;262,4;83,6;94,1;262,4;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;425;69,2;80,2;205,5;71,2;82,6;210,0;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;352;68,2;78,4;204,0;70,6;81,2;209,4;
Hudiksvall;2184;Gävleborgs län;21;Enskild;73;74,0;89,0;212,8;74,0;89,0;212,8;
Hultsfred;0860;Kalmar län;08;Samtliga;177;67,8;77,4;209,9;71,5;81,2;218,6;
Hultsfred;0860;Kalmar län;08;Kommunal;133;63,9;72,9;201,6;68,9;77,9;212,7;
Hultsfred;0860;Kalmar län;08;Enskild;44;79,5;~100;234,8;79,1;~100;235,3;
Hylte;1315;Hallands län;13;Samtliga;127;62,2;73,2;197,4;65,3;76,9;204,3;
Hylte;1315;Hallands län;13;Kommunal;122;61,5;72,1;193,4;64,7;75,9;200,5;
Hylte;1315;Hallands län;13;Enskild;..;..;..;..;..;..;..;
Håbo;0305;Uppsala län;03;Samtliga;256;72,7;87,9;220,8;76,2;92,2;225,3;
Håbo;0305;Uppsala län;03;Kommunal;209;68,9;85,6;212,7;73,1;90,9;218,0;
Håbo;0305;Uppsala län;03;Enskild;47;89,4;~100;255,5;89,4;~100;255,5;
Hällefors;1863;Örebro län;18;Samtliga;77;53,2;70,1;187,2;60,0;80,0;198,7;
Hällefors;1863;Örebro län;18;Kommunal;77;53,2;70,1;187,2;60,0;80,0;198,7;
Härjedalen;2361;Jämtlands län;23;Samtliga;114;70,2;76,3;213,9;78,4;85,3;225,3;
Härjedalen;2361;Jämtlands län;23;Kommunal;114;70,2;76,3;213,9;78,4;85,3;225,3;
Härnösand;2280;Västernorrlands län;22;Samtliga;286;67,5;77,6;205,6;73,1;84,1;217,5;
Härnösand;2280;Västernorrlands län;22;Kommunal;282;67,4;77,7;205,4;73,1;84,2;217,4;
Härnösand;2280;Västernorrlands län;22;Enskild;..;..;..;..;..;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;436;88,8;92,2;244,8;89,2;92,6;245,7;
Härryda;1401;Västra Götalands län;14;Kommunal;362;87,0;90,9;238,0;87,5;91,4;239,1;
Härryda;1401;Västra Götalands län;14;Enskild;74;97,3;~100;277,5;97,3;~100;277,5;
Hässleholm;1293;Skåne län;12;Samtliga;613;69,7;77,5;207,7;74,1;82,5;216,7;
Hässleholm;1293;Skåne län;12;Kommunal;606;69,6;77,6;207,7;74,2;82,6;216,8;
Hässleholm;1293;Skåne län;12;Enskild;..;..;..;..;..;..;..;
Höganäs;1284;Skåne län;12;Samtliga;275;90,9;94,9;243,8;90,9;94,9;243,8;
Höganäs;1284;Skåne län;12;Kommunal;256;90,6;94,9;244,1;90,6;94,9;244,1;
Höganäs;1284;Skåne län;12;Enskild;19;94,7;~100;238,7;94,7;~100;238,7;
Högsby;0821;Kalmar län;08;Samtliga;71;60,6;73,2;192,3;68,3;81,0;200,9;
Högsby;0821;Kalmar län;08;Kommunal;71;60,6;73,2;192,3;68,3;81,0;200,9;
Hörby;1266;Skåne län;12;Samtliga;179;66,5;81,6;218,8;66,5;81,6;218,8;
Hörby;1266;Skåne län;12;Kommunal;158;62,7;79,7;213,4;62,7;79,7;213,4;
Hörby;1266;Skåne län;12;Enskild;21;95,2;~100;257,7;95,2;~100;257,7;
Höör;1267;Skåne län;12;Samtliga;172;80,2;89,0;221,8;82,6;91,6;227,7;
Höör;1267;Skåne län;12;Kommunal;146;78,8;87,7;220,8;81,6;90,8;227,9;
Höör;1267;Skåne län;12;Enskild;26;88,5;~100;226,8;88,5;~100;226,8;
Jokkmokk;2510;Norrbottens län;25;Samtliga;48;79,2;83,3;224,1;79,2;83,3;224,1;
Jokkmokk;2510;Norrbottens län;25;Kommunal;36;75,0;80,6;216,9;75,0;80,6;216,9;
Jokkmokk;2510;Norrbottens län;25;Enskild;12;91,7;~100;245,4;91,7;~100;245,4;
Järfälla;0123;Stockholms län;01;Samtliga;822;72,9;83,0;225,3;78,2;88,8;237,4;
Järfälla;0123;Stockholms län;01;Kommunal;656;67,5;79,3;215,9;73,8;86,3;230,6;
Järfälla;0123;Stockholms län;01;Enskild;166;94,0;~100;261,8;94,0;~100;261,8;
Jönköping;0680;Jönköpings län;06;Samtliga;1 480;76,7;84,3;229,5;81,5;89,6;233,3;
Jönköping;0680;Jönköpings län;06;Kommunal;1 199;75,1;82,7;226,9;81,1;89,2;231,7;
Jönköping;0680;Jönköpings län;06;Enskild;281;83,3;91,1;240,2;83,2;91,1;240,0;
Kalix;2514;Norrbottens län;25;Samtliga;176;63,6;73,3;195,4;67,5;77,1;200,1;
Kalix;2514;Norrbottens län;25;Kommunal;162;63,6;74,1;196,2;67,8;78,3;201,3;
Kalix;2514;Norrbottens län;25;Enskild;14;..;..;183,2;..;..;183,2;
Kalmar;0880;Kalmar län;08;Samtliga;721;78,1;84,0;224,8;83,8;90,2;231,5;
Kalmar;0880;Kalmar län;08;Kommunal;603;77,3;84,1;224,8;83,8;91,2;232,2;
Kalmar;0880;Kalmar län;08;Enskild;118;82,2;83,9;225,0;83,6;85,3;227,8;
Karlsborg;1446;Västra Götalands län;14;Samtliga;63;81,0;90,5;209,3;82,3;90,3;209,5;
Karlsborg;1446;Västra Götalands län;14;Kommunal;63;81,0;90,5;209,3;82,3;90,3;209,5;
Karlshamn;1082;Blekinge län;10;Samtliga;332;64,5;76,2;204,7;68,2;80,3;213,0;
Karlshamn;1082;Blekinge län;10;Kommunal;288;63,2;75,7;200,9;67,4;80,4;210,4;
Karlshamn;1082;Blekinge län;10;Enskild;44;72,7;79,5;228,5;72,7;79,5;228,5;
Karlskoga;1883;Örebro län;18;Samtliga;345;62,3;73,6;203,1;64,7;76,4;208,5;
Karlskoga;1883;Örebro län;18;Kommunal;345;62,3;73,6;203,1;64,7;76,4;208,5;
Karlskrona;1080;Blekinge län;10;Samtliga;755;73,8;81,7;215,6;78,6;87,0;219,9;
Karlskrona;1080;Blekinge län;10;Kommunal;553;71,6;78,3;210,6;78,0;85,2;216,4;
Karlskrona;1080;Blekinge län;10;Enskild;202;79,7;91,1;228,7;80,1;91,5;228,7;
Karlstad;1780;Värmlands län;17;Samtliga;884;79,8;87,0;227,0;82,5;89,9;230,3;
Karlstad;1780;Värmlands län;17;Kommunal;782;77,4;85,5;220,2;80,3;88,8;223,8;
Karlstad;1780;Värmlands län;17;Enskild;102;98,0;~100;277,9;98,0;~100;277,9;
Katrineholm;0483;Södermanlands län;04;Samtliga;381;69,6;78,0;203,6;70,9;79,4;206,5;
Katrineholm;0483;Södermanlands län;04;Kommunal;292;65,8;74,7;194,5;67,4;76,5;198,1;
Katrineholm;0483;Södermanlands län;04;Enskild;89;82,0;88,8;233,2;82,0;88,8;233,2;
Kil;1715;Värmlands län;17;Samtliga;154;68,2;75,3;204,5;80,8;89,2;223,6;
Kil;1715;Värmlands län;17;Kommunal;154;68,2;75,3;204,5;80,8;89,2;223,6;
Kinda;0513;Östergötlands län;05;Samtliga;119;84,9;91,6;229,3;84,9;91,6;229,3;
Kinda;0513;Östergötlands län;05;Kommunal;119;84,9;91,6;229,3;84,9;91,6;229,3;
Kiruna;2584;Norrbottens län;25;Samtliga;225;79,1;88,0;228,3;79,3;88,3;228,3;
Kiruna;2584;Norrbottens län;25;Kommunal;205;78,0;86,8;223,4;78,2;87,1;223,4;
Kiruna;2584;Norrbottens län;25;Enskild;20;90,0;100,0;277,6;90,0;100,0;277,6;
Klippan;1276;Skåne län;12;Samtliga;213;75,1;87,3;215,7;75,7;88,1;216,7;
Klippan;1276;Skåne län;12;Kommunal;172;76,2;88,4;216,1;76,9;89,3;217,2;
Klippan;1276;Skåne län;12;Enskild;41;70,7;82,9;214,5;70,7;82,9;214,5;
Knivsta;0330;Uppsala län;03;Samtliga;167;88,0;94,0;242,4;88,0;94,0;242,4;
Knivsta;0330;Uppsala län;03;Kommunal;148;88,5;93,9;239,1;88,5;93,9;239,1;
Knivsta;0330;Uppsala län;03;Enskild;19;84,2;~100;267,9;84,2;~100;267,9;
Kramfors;2282;Västernorrlands län;22;Samtliga;231;64,9;74,9;202,8;73,2;84,4;215,3;
Kramfors;2282;Västernorrlands län;22;Kommunal;231;64,9;74,9;202,8;73,2;84,4;215,3;
Kristianstad;1290;Skåne län;12;Samtliga;941;67,5;80,8;211,9;71,0;84,8;217,8;
Kristianstad;1290;Skåne län;12;Kommunal;846;66,7;80,1;211,0;70,6;84,7;217,6;
Kristianstad;1290;Skåne län;12;Enskild;95;74,7;86,3;219,0;74,5;86,2;219,4;
